entity_id,entity_type,canonical_name,aliases,first_appearance,source_document,review_status,status,notes,entity_key
ENT-OBJ-0005,Object,Biting Animated Book,biting book,B03-C01-S04,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,magically active book,83cd11058ab1
ENT-OBJ-0006,Object,Flying Book Claimed by Bibliovore,flying book,B03-C03-S02,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,short-lived active book,4cbdc72d6146
ENT-OBJ-0007,Object,Sacrificial Books,books thrown to lexivore,B03-C03-S04,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,consumed distractions,b4f4b24121d6
ENT-OBJ-0008,Object,Paper Jonah Effigy,idealized Jonah,B03-C07-S01,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,Paper construct used by the Sonnet Glade.,9d7a1932ddc6
ENT-OBJ-0009,Object,Paper Margot Effigy,idealized Margot,B03-C07-S01,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,Paper construct destroyed by Margot.,802c4926695e
ENT-OBJ-0010,Object,Original Integration Treaty,real Treaty,B03-C08-S01,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,Founding document proving coercive integration.,89fe020e0309
ENT-OBJ-0011,Object,Margot's Glasses,,B03-C04-S01,series/books/book-3/phase-8-editing/MANUSCRIPT.md,source-reconciled-v1.1,active,Personal glasses; cracked or displaced during danger sequence; exact damage timing remains under review.,94197ee0bcbb
ENT-OBJ-0012,Object,Snub-nosed .38 Revolver,Margot's revolver,B03-C11-S01,series/books/book-3/phase-8-editing/MANUSCRIPT.md,source-reconciled-v1.1,active,Temporary firearm issued to Margot during the cabin siege.,b370478dd59d
ENT-OBJ-0013,Object,Mossberg Shotgun,Jonah's shotgun,B03-C11-S01,series/books/book-3/phase-8-editing/MANUSCRIPT.md,source-reconciled-v1.1,active,Combat and survival weapon used by Jonah and later Margot.,adb1b44e7430
ENT-OBJ-0014,Object,Treaty Evidence Copies,Treaty copies,B03-C14-S03,series/books/book-3/phase-8-editing/MANUSCRIPT.md,source-reconciled-v1.1,active,Distributed copies of the original Integration Treaty.,d022f1487014
ENT-OBJ-0015,Object,Compromised Tracking Source,tracker; surveillance source,B03-C15-S02,series/books/book-3/phase-8-editing/MANUSCRIPT.md,source-reconciled-v1.1,active,Provisional object/mechanism representing the source of the safehouse compromise; exact form requires adjudication.,37a5b7d5d16b
ENT-OBJ-0016,Object,Detainee Files and Transfer Records,detainee files,B03-C16-S03,series/books/book-3/phase-8-editing/MANUSCRIPT.md,source-reconciled-v1.1,active,Institutional evidence seized during the detainee rescue.,423404401e04
ENT-OBJ-0017,Object,Rescued Witness Testimony,witness testimony,B03-C16-S03,series/books/book-3/phase-8-editing/MANUSCRIPT.md,source-reconciled-v1.1,active,Recorded eyewitness evidence from rescued detainees.,12cbc1d6a12e
ENT-OBJ-0018,Object,Sterling's Master Archive Records,master archive records,B03-C18-S04,series/books/book-3/phase-8-editing/MANUSCRIPT.md,source-reconciled-v1.1,active,Records partially seized during the archive breach.,77fc2994cb3e
ENT-OBJ-0019,Object,Dragon-Killer Ballista,ancient history-lance ballista,B03-C18-S05,series/books/book-3/phase-8-editing/MANUSCRIPT.md,source-reconciled-v1.1,active,Ancient gravity-rune siege weapon deployed from the Archives.,9c9931a73ccd
ENT-OBJ-0020,Object,Combat Grimoires,,B03-C21-S03,series/books/book-3/phase-8-editing/MANUSCRIPT.md,source-reconciled-v1.1,active,Magical combat books distributed to resistance casters.,8db46a0325c3
ENT-OBJ-0021,Object,Keeper's Label Gun,label gun,B03-C23-S02,series/books/book-3/phase-8-editing/MANUSCRIPT.md,source-reconciled-v1.1,active,Magical cataloging weapon loaded with VOID tags.,eace0c85d06e
ENT-OBJ-0022,Object,Checkout Stamp,,B03-C23-S04,series/books/book-3/phase-8-editing/MANUSCRIPT.md,source-reconciled-v1.1,active,Magical verification and routing tool transferred to Margot.,9998663ebf76
ENT-OBJ-0023,Object,Logging-Station AM Transmitter,AM transmitter,B03-C24-S03,series/books/book-3/phase-8-editing/MANUSCRIPT.md,source-reconciled-v1.1,destroyed,Temporary communications asset used for the resistance broadcast and then destroyed.,975e7c4d8086
ENT-OBJ-0024,Object,Dragon's-Blood Antiviral Cure,dragon-blood cure,B03-C25-S06,series/books/book-3/phase-8-editing/MANUSCRIPT.md,source-reconciled-v1.1,active,Experimental countermeasure to the techno-arcane Feral virus.,cff7ccf1a8f0
ENT-OBJ-0025,Object,Iron Horse Schematic,Iron Horse map,B03-C27-S01,series/books/book-3/phase-8-editing/MANUSCRIPT.md,source-reconciled-v1.1,active,Mission-planning document used to board the Iron Horse.,22ca18c235f5
ENT-OBJ-0026,Object,Iron Horse Emitter,,B03-C27-S04,series/books/book-3/phase-8-editing/MANUSCRIPT.md,source-reconciled-v1.1,destroyed,Active Feral Signal source destroyed by Margot.,325f74960e24
ENT-OBJ-0027,Object,The Ego of Inquisitors: A Tragedy,Valerius book,B03-C29-S05,series/books/book-3/phase-8-editing/MANUSCRIPT.md,source-reconciled-v1.1,active,Book-form containment artifact holding Valerius in the B4 Restricted Section.,56f834542cd8
ENT-OBJ-0028,Object,Jackson Harrow's Old Sheriff Badge,old sheriff badge,B03-C30-S04,series/books/book-3/phase-8-editing/MANUSCRIPT.md,source-reconciled-v1.1,active,Heirloom badge transferred by Jackson to Jonah.,899c181d1f9e
ENT-STATE-0001,PhysicalState,Jonah's Lexivore Injury,frost-burn injury,B03-C03-S04,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,persistent physical consequence,3352997f1505
ENT-SYS-0001,System,Purge Protocol,,B03-C02-S03,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,library self-erasure protocol,85b43cc4053a
ENT-THREAD-0001,NarrativeThread,Founding Scrolls Mystery,,B03-C02-S02,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,central suspense thread,baac812e4ee9
ENT-THREAD-0002,NarrativeThread,Mate-Bond Romance,,B03-C01-S03,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,central romantic thread,13ee5ddb6e4f
ENT-THREAD-0003,NarrativeThread,Keeper Legacy,,B03-C01-S04,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-curated-v0.1,active,Margot family-history thread,ff4f802f1802
