scene_context_id,scene_id,pov_character,location,present_characters,active_goals,active_threats,known_propositions,believed_propositions,false_beliefs,concealed_propositions,objects_present,relationship_states,open_promises,reader_advantage,reader_disadvantage,revision_context,source_document,review_status,notes
CTX-B03-C03-S01,B03-C03-S01,Jonah Harrow,"Level B1, Extended Stacks",Jonah Harrow; Margot Vance,Orient within B1 and locate the route to B2.,Absolute darkness; pressure; whispering books; unstable space.,Jonah learns B1 houses active books and Margot's route knowledge comes from inherited journals.,Jonah recognizes ordinary navigation may not work.,,,None.,Jonah observes Margot's competence and inherited burden.,The Deep Stacks distort space and contain escalating threats.; The descent becomes physically and psychologically hazardous.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C03-S02,B03-C03-S02,Jonah Harrow,Level B1 corridor,Jonah Harrow; Margot Vance; bibliovore,Move safely toward B2 without engaging the collection.,Whispering books; a flying book; bibliovore; non-Euclidean corridors.,Jonah learns bibliovores feed on text and touching claimed books creates danger.,Jonah's confidence in his directional sense erodes.,,,Flying book passes from shelf to Jonah to bibliovore.,Jonah reflexively protects Margot; Margot responds with dry trust rather than panic.,Predators that consume text; unreliable time and direction.; B1's danger escalates from atmosphere to creature encounter.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C03-S03,B03-C03-S03,Jonah Harrow,Level B1 branching corridor,Jonah Harrow; Margot Vance; lexivore,Locate the stairs while Jonah controls the mate response.,Jonah's wolf; attraction; shifting geometry; approaching lexivore.,They learn the changed whispering belongs to an active predator.,Margot recognizes the sound is abnormal; Jonah's protective commitment becomes immediate.,,,None.,Attraction becomes explicit in their interaction; Jonah instinctively protects her.,Jonah's mate recognition will conflict with professional restraint.; Romantic tension and physical danger intensify together.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C03-S04,B03-C03-S04,Jonah Harrow,Level B1 corridor and stairs to B2,Jonah Harrow; Margot Vance; lexivore,Survive the lexivore and reach B2.,A creature feeding on language and meaning.,"They learn lexivores recoil from light, consume books, and are bound to B1.",Jonah recognizes Margot as tactically resourceful; Margot admits B2 is worse.,,,Several books are thrown to and consumed by the lexivore.,They fight back-to-back and function as a team.,B2 contains worse and different dangers.; The descent exacts a physical cost and strengthens partnership.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C03-S05,B03-C03-S05,Jonah Harrow,B2 doorway and Architecture Section,Jonah Harrow; Margot Vance; unidentified entity below,Open B2 and proceed toward the Heart of the Archive.,Jonah's injury; resistant wards; impossible architecture; unknown watcher.,Jonah learns B2 contains actual impossible spaces and may lack a floor.,Both accept that survival requires mutual reliance.,,,Margot uses and retains the key; hand contact established.,Voluntary handholding and explicit 'together' commitment mark a trust and intimacy step.,Unknown entity beneath B2; impossible-space navigation.; The romantic partnership becomes explicit while the mission deepens.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C04-S01,B03-C04-S01,Margot Vance,"B2 landing, Architecture Section entrance",Margot Vance; Jonah Harrow,Recover from B1 and assess Jonah's injury before crossing B2.,"Exhaustion, Jonah's injury, unstable attraction, impossible architecture.",Margot confirms Jonah is injured but functional; both recognize the intensity between them.,Margot stops treating the attraction as mere fear or ward interference.,,,Jonah holds the flashlight; no lasting transfer confirmed.,Mutual attraction becomes consciously acknowledged.,Physical intimacy will complicate the mission and professional roles.; Romantic tension moves from subtext to explicit desire.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C04-S02,B03-C04-S02,Margot Vance,B2 landing against the sealed door,Margot Vance; Jonah Harrow,Decide whether to stop or act on their attraction.,"Mission urgency, Margot's secrecy, Jonah's authority, fear of consequences.",Each learns the other actively wants the encounter.,Margot rejects the explanation that desire is only magical interference.,,,None.,Consent and desire become explicit; power and vulnerability intensify.,The relationship now carries emotional and professional consequences.; Mate-bond and attraction promises escalate sharply.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C04-S03,B03-C04-S03,Margot Vance,B2 landing,Margot Vance; Jonah Harrow,Act on mutual desire during a brief pause in danger.,Time pressure and Jonah's remaining restraint.,Margot learns Jonah can be both commanding and attentive; Jonah learns her physical response.,Margot's fear of intimacy temporarily yields to trust and surrender.,,,None.,Physical intimacy becomes real and irreversible.,Later completion and emotional reckoning.; Romantic and mate-bond arcs move into explicit intimacy.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C04-S04,B03-C04-S04,Margot Vance,B2 landing overlooking impossible geometry,Margot Vance; Jonah Harrow,Regain composure and continue toward B3.,Aftermath of intimacy; impossible architecture; mission urgency.,Jonah learns B2 contains rejected architectural impossibilities and no reliable floor.,Both accept that intimacy did not erase the mission or partnership.,,,Flashlight remains in active use.,"Tenderness follows urgency, deepening trust.",B2 navigation challenge.; Quest danger resumes after romantic escalation.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C04-S05,B03-C04-S05,Margot Vance,B2 floating paths and Central Spire landing,Margot Vance; Jonah Harrow; Concept Guardian cat,Cross B2 and gain access to Level B3.,"Subjective gravity, abyss, Concept Guardian riddle.",They learn B2 obeys belief-dependent gravity and access to B3 is guarded by a Concept Guardian.,Jonah accepts Margot's metaphysical guidance despite skepticism.,,,None.,Trust is demonstrated through following Margot across impossible terrain.,Solve the riddle or Jonah dies; Concept Guardian knowledge.; B2 quest reaches a gatekeeping challenge.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C05-S01,B03-C05-S01,Jonah Harrow,B2 Central Spire landing,Jonah Harrow; Margot Vance; Concept Guardian cat,Solve the Guardian's riddle before Jonah is eaten.,"Semantic riddle, countdown, Guardian's threat.",Jonah sees Margot solve a conceptual threat through expertise rather than force.,Jonah's respect for Margot's intelligence deepens.,,,None.,Competence admiration and romantic tension intensify.,A safe resting point beyond the door.; Quest access to B3 is earned.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C05-S02,B03-C05-S02,Jonah Harrow,Resting Point study between B2 and B3,Jonah Harrow; Margot Vance,Recover safely before entering B3.,"Residual danger, unresolved attraction, limited time.",Jonah learns Margot's desire is deliberate rather than panic-driven.,Jonah distinguishes mutual desire from crisis reaction.,,,None.,Margot becomes active initiator; trust and agency deepen.,Intimacy will continue on chosen terms.; The earlier incomplete encounter is intentionally resumed.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C05-S03,B03-C05-S03,Jonah Harrow,"Resting Point study, oak desk",Jonah Harrow; Margot Vance,Confirm consent and focus on Margot's pleasure.,Margot's inexperience and vulnerability; mission pause is brief.,Jonah learns Margot's sexual inexperience and desire for him.,Jonah's protectiveness becomes tender sexual devotion.,,,Margot's clothing is moved but retained.,Intimacy becomes more personal and emotionally significant.,Jonah's vow to 'rewrite' her experience.; Sexual trust deepens.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C05-S04,B03-C05-S04,Jonah Harrow,Resting Point study,Jonah Harrow; Margot Vance,Give Margot pleasure and safety.,Margot's overwhelm and unfamiliarity.,"Both learn the intimacy can be chosen, focused, and safe.",Margot's model of intimacy shifts from danger to trust; Jonah experiences unusual peace.,,,None.,Emotional tenderness and sexual trust strengthen.,Future mutual intimacy and post-crisis relationship conversation.; Romantic bond gains emotional depth.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C05-S05,B03-C05-S05,Jonah Harrow,Resting Point study and stairs to B3,Jonah Harrow; Margot Vance,"Recover, define immediate boundaries, and descend to B3.",Unresolved emotional implications; dangerous Poetry Section.,Jonah learns B3 weaponizes memory and emotion.,Both accept the encounter was meaningful and not merely crisis behavior.,,,None.,Commitment becomes provisional but explicit beyond immediate survival.,Topside relationship conversation; B3 emotional trial.; Romance and quest remain linked.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C06-S01,B03-C06-S01,Jonah Harrow,Spiral stairs into B3 Poetry Section,Jonah Harrow; Margot Vance,Enter B3 without being trapped by emotional associations.,Memory-triggering atmosphere and poetry-fed shame.,Jonah learns B3 can force emotional experiences and trap readers inside poems.,Jonah accepts Margot's warning that language itself is dangerous here.,,,None.,Margot becomes Jonah's emotional anchor and rescuer.,"B3 will weaponize guilt, memory, and emotion.; The Poetry Section threat is demonstrated.",,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C06-S02,B03-C06-S02,Jonah Harrow,B3 forest of textual trees,Jonah Harrow; Margot Vance,Cross the forest while resisting poetic hooks.,"Whispering text, intrusive memories, hunger of the forest.",They learn rhythm and physical anchoring can counter the Poetry Section.,Jonah increasingly trusts Margot's methods over instinct or force.,,,None.,Handholding functions as both emotional and survival anchoring.,The forest will tailor traps to personal wounds.; B3 threat escalates from atmosphere to targeted manipulation.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C06-S03,B03-C06-S03,Jonah Harrow,B3 illusionary courtroom within the forest,Jonah Harrow; Margot Vance; illusory accusers,Find Margot and resist a guilt-based poetic trap.,"Isolation, courtroom illusion, Jonah's guilt and fear of judgment.",Margot learns Jonah's guilt is a major vulnerability; Jonah learns B3 can separate and rewrite identity.,Jonah's self-control proves insufficient without Margot's intervention.,,,None.,Margot becomes essential to Jonah's psychological survival.,Jonah's buried guilt and history require later exploration.; B3 weaponizes personal wounds and separation.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C06-S04,B03-C06-S04,Jonah Harrow,B3 forest after courtroom trap,Jonah Harrow; Margot Vance,Recover Jonah's identity and continue toward B4.,Residual transformation into text; fog; threat of another cliché trap.,Both learn B3 can physically convert a person into text.,Jonah accepts vulnerability and dependence more fully.,,,None.,Physical contact becomes a conscious protective strategy.,Further B3 traps and unresolved Jonah guilt.; Arc pressure deepens through literal identity threat.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C07-S01,B03-C07-S01,Margot Vance,B3 Sonnet Glade,Margot Vance; Jonah Harrow; paper effigies,Cross the Sonnet Glade without being cast into an idealized romance narrative.,"Narrative gravity, idealized romance tropes, exhaustion, Jonah's desire for peace.",Margot identifies the Glade as a trope-enforcement system that prefers tragic romantic endings.,Margot recognizes the threat is not attraction but imposed perfection.,,,Margot's cracked glasses remain with her.,Their imperfect real bond is contrasted with a false ideal.,They must reject an idealized romance script to survive.; B3 continues weaponizing emotional expectations.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C07-S02,B03-C07-S02,Margot Vance,B3 Sonnet Glade gazebo,Margot Vance; Jonah Harrow; paper effigies,Prevent Jonah from surrendering to the false perfect ending.,"Jonah's exhaustion, atmosphere thickening, clothing and identity being rewritten.",Margot learns Jonah's exhaustion and protector fantasy are exploitable weaknesses.,Margot chooses active authorship over passive participation.,,,None.,Margot becomes protector of Jonah's identity.,Margot must rescue Jonah by subverting narrative expectation.; The Sonnet Glade trap escalates toward identity merger.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C07-S03,B03-C07-S03,Margot Vance,B3 Sonnet Glade gazebo,Margot Vance; Jonah Harrow; paper effigies; hostile Glade,Destroy the idealized scene and wake Jonah.,"Narrative inertia, hostile vegetation, paper doubles.","They learn farce, reality, and aesthetic disruption can break romance-trope magic.",Jonah recognizes Margot's refusal of perfection as a survival strength.,,,Ink stains remain on Margot's clothes.,Margot rescues Jonah by defending their messy real selves.,The Glade will retaliate physically.; Margot's agency and anti-idealization arc intensify.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C07-S04,B03-C07-S04,Margot Vance,Stairwell beyond Sonnet Glade,Margot Vance; Jonah Harrow,Escape B3 and prepare for B4.,Exhaustion and aftermath of the Glade.,Jonah learns Margot can defeat narrative magic through analytical subversion.,Jonah's admiration becomes warmer and more personal.,,,None.,"Their bond is affirmed as imperfect, real, and resilient.",History in B4 will be heavier than poetry.; Quest reaches final descent.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C07-S05,B03-C07-S05,Margot Vance,B4 cavern and obsidian Vault,Margot Vance; Jonah Harrow,Enter the Vault and recover the Founding Scrolls.,"Blood-keyed access, Margot's concealed truth, mountain-depth isolation.",Jonah learns Margot lied about theft and the official Integration Treaty is false.,Jonah's understanding of town history and law begins collapsing.,,,Margot uses a knife and blood to open the Vault.,Trust is damaged by Margot's deception even as she reveals the truth.,The real Integration Treaty will expose institutional enslavement.; Founding-truth and concealed-journal threads converge.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C08-S01,B03-C08-S01,Jonah Harrow,Inside B4 Vault,Jonah Harrow; Margot Vance; Kael,Understand the real Treaty and recover the Scroll before the purge.,"Betrayal, altered history, approaching purge, armed mercenary.",Jonah learns the official Treaty is propaganda and Kael works for the Council.,"Jonah's faith in his father, oath, and town institutions fractures.",,,The real Scroll is located inside the Vault.,Jonah feels betrayed by history and by Margot's withheld knowledge.,Kael and the Council intend to destroy evidence and witnesses.; Founding conspiracy moves from secret history to active antagonist plot.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C08-S02,B03-C08-S02,Jonah Harrow,Inside B4 Vault,Jonah Harrow; Margot Vance; Kael,Protect Margot and defeat Kael.,"Kinetic magic, silver weapon, Jonah's injuries.",Kael learns Jonah can resist pure sterling under Alpha rage.,Jonah turns ideological devastation into focused protective violence.,,,Silver rod is seized and broken.,Jonah's protection of Margot becomes absolute and public.,Kael may escape or retaliate.; Antagonist threat becomes physical.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C08-S03,B03-C08-S03,Jonah Harrow,Inside B4 Vault,Jonah Harrow; Margot Vance; Kael,Capture Kael and stabilize after combat.,Kael's escape magic; Jonah's combat high.,They know Kael remains somewhere in the library.,Margot chooses Jonah's wolf-state rather than fearing it.,,,Margot holds the Scroll.,Margot explicitly accepts Jonah's Alpha identity.,Kael remains an active threat.; Mate-bond and Alpha-acceptance arc escalate.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C08-S04,B03-C08-S04,Jonah Harrow,Inside B4 Vault shelving,Jonah Harrow; Margot Vance,Use physical intimacy to ground Jonah after combat.,"Combat high, aggression, risk of harm, urgency.",Jonah learns Margot accepts his intensity and wants the encounter.,Margot separates Jonah's violence toward enemies from danger to her.,,,Margot's panties are torn.,Physical and mate-bond commitment deepens.,Knotting and reproductive consequences are raised but deferred.; Mate-bond intimacy becomes physically consummated.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C08-S05,B03-C08-S05,Jonah Harrow,Inside B4 Vault,Jonah Harrow; Margot Vance,"Complete intimacy, secure the Scroll, and leave.","Risk of knotting, Kael's possible return, purge deadline.",Both know their bond now includes chosen full sexual intimacy and shared political purpose.,Jonah begins treating the Scroll as leverage rather than merely evidence.,,,"Founding Scroll transfers from Margot to Jonah, tucked into his belt.",Sexual partnership and political alliance fuse.,"They will use the Treaty to dictate new terms.; Escape, public exposure, and institutional conflict.",,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C09-S01,B03-C09-S01,Margot Vance,"Library basement, stairs, and main floor",Margot Vance; Jonah Harrow; Arthur Sterling,Escape the library with the Scroll.,"Exhaustion, Jonah's injuries, Kael still loose, Sterling waiting.",They learn Sterling is personally present and prepared to control the outcome.,Margot recognizes institutional power will confront evidence directly.,,,Scroll remains with Jonah or immediately accessible to the pair.,Jonah and Margot continue acting as a unit.,Sterling will attempt to seize or discredit the Treaty.; Private truth moves toward public confrontation.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C09-S02,B03-C09-S02,Margot Vance,Library main floor,Margot Vance; Jonah Harrow; Arthur Sterling; Kael; marksman,Prevent Sterling from taking or destroying the Treaty.,"Battle mage, rifle, political authority, evidence-destruction threat.",Margot learns Sterling prioritizes narrative control and fears public evidence.,Margot chooses public exposure over institutional appeal.,,,Scroll case displayed publicly but not surrendered.,Margot takes strategic leadership while Jonah provides force.,The town will become witness and jury.; Public-revelation promise escalates.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C09-S03,B03-C09-S03,Margot Vance,Library main floor and front window,Margot Vance; Arthur Sterling; Jonah Harrow; gathering crowd,Expose the Treaty to the town rather than wait for distant authorities.,Sterling's planned spin and absence of formal investigators.,Sterling learns Margot intends immediate public disclosure.,Margot commits to local collective truth rather than elite validation.,,,None.,None beyond shared strategy.,Public proof will destabilize the town.; Witness strategy becomes explicit.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C09-S04,B03-C09-S04,Margot Vance,Library entrance and front steps,Margot Vance; Jonah Harrow; Arthur Sterling; Kael; marksman; townspeople; Grishka; Aleksei; werewolf pack,Open the doors and present the Treaty publicly.,"Threat of gunfire, Sterling's intimidation, volatile crowd.",The town learns the official history is fraudulent and Sterling concealed the original Treaty.,Jonah rejects institutional loyalty in favor of public truth.,,,Treaty displayed to the crowd.,Jonah publicly stands beside Margot and validates her claim.,Public fury may become rebellion or riot.; Political upheaval begins.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C09-S05,B03-C09-S05,Margot Vance,Library entrance and town streets,Margot Vance; Jonah Harrow; Arthur Sterling; Kael; mercenaries; mob,Survive the crowd reaction and preserve the evidence.,"Mob violence, antagonist escape, library destruction risk.",They know Sterling will continue the fight and public anger is uncontrollable.,Margot accepts Jonah's isolated cabin as the safest next move.,,,Treaty remains with the pair.,Their alliance expands into shared refuge and future intimacy.,Sterling will retaliate; library may be attacked; cabin becomes refuge.; Political conflict expands beyond the library.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C09-S06,B03-C09-S06,Margot Vance,Jonah's cruiser en route to ridge cabin,Margot Vance; Jonah Harrow,"Escape, plan evidence upload, and reach safety.","Sterling's connections, homelessness, unresolved danger.",Margot understands the library may no longer be available and Jonah intends to shelter her.,Margot's trust becomes conscious love and complete felt safety.,,,Scroll case rests in Margot's lap during drive.,Margot privately reaches an in-love state; Jonah frames his cabin as home.,Upload the Treaty; confront Sterling's retaliation; define the relationship at the cabin.; Topside conversation and political dissemination.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C10-S01,B03-C10-S01,Jonah Harrow,Jonah's ridge cabin,Jonah Harrow; Margot Vance,"Reach safety, warm Margot, and secure the cabin.","Shock, cold, injuries, loss of Margot's home, and continued pursuit.",Margot learns the cabin is Jonah's private sanctuary and heavily defended.,Jonah begins imagining the cabin as shared space rather than solitary refuge.,,,"Jonah gives Margot flannel shirt, sweatpants, and wool socks; Treaty remains with the pair.","Jonah provides home, clothing, and care; protectiveness becomes domestic.",They must survive the night and decide what comes after exposure.; Cabin refuge and topside relationship conversation begin.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C10-S02,B03-C10-S02,Jonah Harrow,Jonah's ridge cabin,Jonah Harrow; Margot Vance,Settle into temporary safety and define immediate plans.,"Wolf agitation, attraction, fugitive status, uncertain political aftermath.",Margot learns Jonah intends to upload the Treaty and wait for federal response.,Jonah accepts partnership beyond immediate survival.,,,Margot wears Jonah's clothes; weapons are staged.,Shared future language becomes explicit.,Upload the Scroll and confront Sterling's institutional response.; Topside conversation and shared-future promise.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
CTX-B03-C10-S03,B03-C10-S03,Jonah Harrow,"Jonah's ridge cabin, fireplace",Jonah Harrow; Margot Vance,Treat Jonah's injuries.,"Silver burn, chest wounds, Jonah's resistance to care.",Margot learns Jonah's long history of injury and solitary sacrifice.,Jonah begins accepting that care is not weakness.,,,First-aid supplies used; gauze applied to Jonah's hand.,Tenderness and caregiving deepen emotional intimacy.,Jonah must learn to accept sustained care.; Relationship shifts from survival partnership toward mutual caretaking.,,,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,human-validated-v0.1,
