proposition_id,normalized_proposition,proposition_domain,status,first_asserted_scene,source_revision,review_status,duplicate_group,notes
P-B03-000029,Jonah's guilt is a major vulnerability.,analytical,active,B03-C06-S03,REV-B03-PHASE8,human-curated-v0.1,9f68482ebcfd,
P-B03-000030,Jonah and Margot agree that a future topside relationship conversation is necessary.,story-world,active,B03-C05-S05,REV-B03-PHASE8,human-curated-v0.1,3b89c92110db,
P-B03-000031,The twelve-hour countdown remains active through Chapters 4–6.,story-world,active,B03-C04-S01,REV-B03-PHASE8,human-curated-v0.1,cdee015e49da,
P-B03-000032,Margot becomes Jonah's emotional and psychological anchor in B3.,analytical,active,B03-C06-S03,REV-B03-PHASE8,human-curated-v0.1,4a9c75f0e589,
P-B03-000033,The Sonnet Glade attempts to force Jonah and Margot into an idealized romance script.,story-world,active,B03-C07-S01,REV-B03-PHASE8,human-curated-v0.1,4c46a8caf2ad,
P-B03-000034,Margot defeats the Sonnet Glade by subverting its narrative expectations.,story-world,active,B03-C07-S03,REV-B03-PHASE8,human-curated-v0.1,7a7446f71a86,
P-B03-000035,The Founding Scrolls were hidden rather than stolen.,story-world,active,B03-C07-S05,REV-B03-PHASE8,human-curated-v0.1,374cc8ae7f65,
P-B03-000036,The official Integration Treaty is fraudulent propaganda.,story-world,active,B03-C08-S01,REV-B03-PHASE8,human-curated-v0.1,05cf20fedf3f,
P-B03-000037,The original Integration Treaty documents coercive supernatural servitude.,story-world,active,B03-C08-S01,REV-B03-PHASE8,human-curated-v0.1,1a66785f7ba3,
P-B03-000038,Kael works for the Council and accelerated the Purge Protocol.,story-world,active,B03-C08-S01,REV-B03-PHASE8,human-curated-v0.1,4fc49cc975e9,
P-B03-000039,"Jonah defeats Kael in close combat, but Kael escapes.",story-world,active,B03-C08-S02,REV-B03-PHASE8,human-curated-v0.1,28c4682b57a1,
P-B03-000040,Margot accepts Jonah's Alpha nature rather than fearing it.,relationship,active,B03-C08-S03,REV-B03-PHASE8,human-curated-v0.1,1d2eac7ed469,
P-B03-000041,Jonah and Margot fully consummate their sexual relationship.,story-world,active,B03-C08-S05,REV-B03-PHASE8,human-curated-v0.1,c44a1d7e034b,
P-B03-000042,Jonah takes custody of the original Integration Treaty.,story-world,active,B03-C08-S05,REV-B03-PHASE8,human-curated-v0.1,bc6c24a97429,
P-B03-000043,Arthur Sterling attempts to suppress or seize the Treaty.,story-world,active,B03-C09-S01,REV-B03-PHASE8,human-curated-v0.1,7913357eebbf,
P-B03-000044,Margot converts the private confrontation into public accountability.,story-world,active,B03-C09-S02,REV-B03-PHASE8,human-curated-v0.1,dd5383500ba5,
P-B03-000045,Jonah publicly confirms that the official town history is false.,story-world,active,B03-C09-S04,REV-B03-PHASE8,human-curated-v0.1,354dbac5e94a,
P-B03-000046,Sterling and his mercenaries retreat after the public revelation.,story-world,active,B03-C09-S05,REV-B03-PHASE8,human-curated-v0.1,dcfec3ce5c1e,
P-B03-000047,Margot realizes she is in love with Jonah.,character-state,active,B03-C09-S06,REV-B03-PHASE8,human-curated-v0.1,d84f24b5a1d0,
P-B03-000048,Jonah's cabin becomes the pair's planned refuge.,story-world,active,B03-C09-S06,REV-B03-PHASE8,human-curated-v0.1,e34baba1958d,
P-B03-000049,Jonah's cabin is a fortified off-grid refuge.,story-world,active,B03-C10-S01,REV-B03-PHASE8,human-curated-v0.1,72e788512c68,
P-B03-000050,Jonah and Margot explicitly commit to facing the future together.,relationship,active,B03-C10-S02,REV-B03-PHASE8,human-curated-v0.1,a2251d173194,
P-B03-000051,Margot treats Jonah's silver and combat injuries.,story-world,active,B03-C10-S03,REV-B03-PHASE8,human-curated-v0.1,bbf7754dcf6b,
P-B03-000052,Margot accepts the lifelong nature of Jonah's wolf bond.,relationship,active,B03-C10-S04,REV-B03-PHASE8,human-curated-v0.1,63e74912c73b,
P-B03-000053,The Magisterium quarantines the town and orders Jonah to surrender Margot.,story-world,active,B03-C10-S05,REV-B03-PHASE8,human-curated-v0.1,b090b347be14,
P-B03-000054,The original Treaty includes a ledger of supernatural disappearances since 1995.,story-world,active,B03-C11-S01,REV-B03-PHASE8,human-curated-v0.1,f6c056c579da,
P-B03-000055,Federal forces jam the cabin's communications and attack it.,story-world,active,B03-C11-S01,REV-B03-PHASE8,human-curated-v0.1,be9783793bd6,
P-B03-000056,Jonah and Margot escape the cabin through a blasted root-cellar wall.,story-world,active,B03-C11-S03,REV-B03-PHASE8,human-curated-v0.1,9b8861b55b78,
P-B03-000057,Jonah temporarily masks the Treaty from magical tracking.,story-world,active,B03-C12-S01,REV-B03-PHASE8,human-curated-v0.1,b74fbb9bf6c4,
P-B03-000058,Jonah saves Margot from hypothermia through emergency skin-to-skin warming.,story-world,active,B03-C12-S02,REV-B03-PHASE8,human-curated-v0.1,d83cfb9a277f,
P-B03-000059,Jonah plans to return to town through old mining tunnels.,story-world,active,B03-C12-S03,REV-B03-PHASE8,human-curated-v0.1,5f33ce601f5b,
P-B03-000060,Margot sees and accepts Jonah's full wolf form.,relationship,active,B03-C12-S04,REV-B03-PHASE8,human-curated-v0.1,06ab1d4bf2e3,
P-B03-000061,Jonah's wolf recognizes Margot as pack.,relationship,active,B03-C12-S05,REV-B03-PHASE8,human-curated-v0.1,9f9169261b67,
P-B03-000062,The old mining tunnels are actively used by the conspiracy.,story-world,active,B03-C13-S01,REV-B03-PHASE8,human-curated-v0.1,70b8c8df8572,
P-B03-000063,The mine network corroborates the disappearance ledger.,story-world,active,B03-C13-S02,REV-B03-PHASE8,human-curated-v0.1,6a654c6e43e6,
P-B03-000064,Snowfall Creek is under active quarantine and propaganda control.,story-world,active,B03-C14-S01,REV-B03-PHASE8,human-curated-v0.1,c9444c6b176d,
P-B03-000065,"Local resistance forms around Jonah, Margot, and the Treaty evidence.",story-world,active,B03-C14-S02,REV-B03-PHASE8,human-curated-v0.1,7780d2a57d82,
P-B03-000066,Treaty evidence is duplicated and distributed through redundant channels.,story-world,active,B03-C14-S03,REV-B03-PHASE8,human-curated-v0.1,0d3df61d54e7,
P-B03-000067,Sterling's forces raid the resistance position.,story-world,active,B03-C14-S04,REV-B03-PHASE8,human-curated-v0.1,6828664bcb3f,
P-B03-000068,At least one evidence package escapes Sterling's control.,story-world,active,B03-C15-S01,REV-B03-PHASE8,human-curated-v0.1,13606eacfb65,
P-B03-000069,The resistance identifies a surveillance or intelligence compromise.,story-world,active,B03-C15-S02,REV-B03-PHASE8,human-curated-v0.1,c1cb923a167a,
P-B03-000070,An outside recipient confirms possession of Treaty evidence.,story-world,active,B03-C15-S03,REV-B03-PHASE8,human-curated-v0.1,16c63ced26e4,
P-B03-000071,Jonah and Margot choose an active liberation or assault strategy.,story-world,active,B03-C15-S04,REV-B03-PHASE8,human-curated-v0.1,8abc2ffac701,
P-B03-000072,The resistance rescues detainees connected to the disappearance ledger.,story-world,active,B03-C16-S03,REV-B03-PHASE8,human-curated-v0.1,8b9710f2c429,
P-B03-000073,Rescued detainees provide eyewitness evidence against Sterling's network.,story-world,active,B03-C16-S03,REV-B03-PHASE8,human-curated-v0.1,b34e0e08d009,
P-B03-000074,Jonah holds the line so Margot can evacuate prisoners and records.,story-world,active,B03-C16-S04,REV-B03-PHASE8,human-curated-v0.1,60072e27d165,
P-B03-000075,Kael confronts Jonah during the detention escape.,story-world,active,B03-C17-S01,REV-B03-PHASE8,human-curated-v0.1,0669c97bf1d7,
P-B03-000076,Margot refuses to leave Jonah behind and returns for him.,relationship,active,B03-C17-S03,REV-B03-PHASE8,human-curated-v0.1,e5b783bbce59,
P-B03-000077,A rescued witness reveals Sterling's command site and next move.,story-world,active,B03-C17-S04,REV-B03-PHASE8,human-curated-v0.1,2dcb2fcb3c2a,
P-B03-000078,The resistance selects Sterling's master archive as the final target.,story-world,active,B03-C18-S01,REV-B03-PHASE8,human-curated-v0.1,28bd0a110c4b,
P-B03-000079,Jonah publicly renounces the corrupt enforcement structure.,character-state,active,B03-C18-S02,REV-B03-PHASE8,human-curated-v0.1,7b488261dc34,
P-B03-000080,Sterling begins destroying records before outside intervention arrives.,story-world,active,B03-C18-S03,REV-B03-PHASE8,human-curated-v0.1,72b74d032d31,
P-B03-000081,The resistance breaches Sterling's command archive and secures part of the records.,story-world,active,B03-C18-S04,REV-B03-PHASE8,human-curated-v0.1,ce08cbeca9aa,
P-B03-000082,The library awakens and deploys ancient lockdown defenses.,story-world,active,B03-C19-S02,REV-B03-PHASE8,human-curated-v0.1,e11c0ddccacb,
P-B03-000083,Margot destroys or disables the Gunship with an ancient history-lance.,story-world,active,B03-C19-S05,REV-B03-PHASE8,human-curated-v0.1,738f8018aa35,
P-B03-000084,Valerius captures the library using neurotoxin and Grey Guard occupation forces.,story-world,active,B03-C20-S01,REV-B03-PHASE8,human-curated-v0.1,643bd9296657,
P-B03-000085,Margot activates Protocol Wild Hunt after the library falls.,story-world,active,B03-C20-S03,REV-B03-PHASE8,human-curated-v0.1,8c36af5814c3,
P-B03-000086,Protocol Wild Hunt mobilizes Snowfall Creek into a fortified rebellion.,story-world,active,B03-C21-S01,REV-B03-PHASE8,human-curated-v0.1,7e77f4db5c49,
P-B03-000087,A captured Fire Elemental provides the library with sustained magical power.,story-world,active,B03-C21-S02,REV-B03-PHASE8,human-curated-v0.1,7c7b83b96228,
P-B03-000088,Jonah rejects cursed weapons while authorizing salvaged arms and combat grimoires.,character-state,active,B03-C21-S03,REV-B03-PHASE8,human-curated-v0.1,11c732493232,
P-B03-000089,Jonah tells Margot she is his anchor and the reason the town is worth saving.,relationship,active,B03-C21-S05,REV-B03-PHASE8,human-curated-v0.1,d0d7de419c17,
P-B03-000090,The Grey Guard arrives as an anti-magic siege legion under Valerius.,story-world,active,B03-C21-S06,REV-B03-PHASE8,human-curated-v0.1,bb5ed36e9e30,
P-B03-000091,Snowfall Creek collectively refuses Valerius's surrender demand.,story-world,active,B03-C21-S06,REV-B03-PHASE8,human-curated-v0.1,124d4ad3962e,
P-B03-000092,The Escher-floor trap contains the first Grey Guard vanguard.,story-world,active,B03-C22-S03,REV-B03-PHASE8,human-curated-v0.1,9a75320ca00c,
P-B03-000093,Valerius deploys a necromantic Siege Golem against the library.,story-world,active,B03-C22-S05,REV-B03-PHASE8,human-curated-v0.1,fbb1d077b670,
P-B03-000094,Margot classifies the Siege Golem as unprocessed library inventory.,story-world,active,B03-C23-S02,REV-B03-PHASE8,human-curated-v0.1,5bfa51958c98,
P-B03-000095,Margot returns the Siege Golem to the Void through the Oversize Returns chute.,story-world,active,B03-C23-S05,REV-B03-PHASE8,human-curated-v0.1,24412908f2d3,
P-B03-000096,Valerius converts the battle into a starvation siege after losing the Golem.,story-world,active,B03-C23-S06,REV-B03-PHASE8,human-curated-v0.1,a130517c82ef,
P-B03-000097,Jonah uses an obsolete AM transmitter to bypass the Grey Guard jamming field.,story-world,active,B03-C24-S03,REV-B03-PHASE8,human-curated-v0.1,1fcbaeac3c34,
P-B03-000098,Jonah broadcasts a regional plea for witnesses to the siege.,story-world,active,B03-C24-S04,REV-B03-PHASE8,human-curated-v0.1,9022927d9b92,
P-B03-000099,Grey Guard Hunters nearly capture Jonah with Alpha-containment equipment.,story-world,active,B03-C24-S05,REV-B03-PHASE8,human-curated-v0.1,ab5eca1eebf5,
P-B03-000100,A civilian convoy responds to Jonah's broadcast and heads toward Snowfall Creek.,story-world,active,B03-C24-S06,REV-B03-PHASE8,human-curated-v0.1,f7d889d06c91,
P-B03-000101,Valerius activates a backup Feral Signal that turns the public confrontation into a manufactured massacre.,story-world,active,B03-C25-S03,REV-B03-PHASE8,human-curated-v0.1,eeabd95368f4,
P-B03-000102,Margot begins synthesizing an antiviral cure from dragon's blood and archive alchemy.,story-world,active,B03-C25-S06,REV-B03-PHASE8,human-curated-v0.1,bbbece0f2dbc,
P-B03-000103,Jonah confines himself to prevent the virus from making him kill civilians.,character-state,active,B03-C26-S03,REV-B03-PHASE8,human-curated-v0.1,835fca2d7ce6,
P-B03-000104,Margot's counter-signal partially purges the techno-arcane infection from Jonah.,story-world,active,B03-C26-S04,REV-B03-PHASE8,human-curated-v0.1,47e163800635,
P-B03-000105,Silas is a revenant founder awakened by the Archives.,story-world,active,B03-C26-S05,REV-B03-PHASE8,human-curated-v0.1,713a0aeb3917,
P-B03-000106,The Iron Horse is the source of the Feral Signal.,story-world,active,B03-C26-S06,REV-B03-PHASE8,human-curated-v0.1,b51aeb750b03,
P-B03-000107,The team boards the Iron Horse using a condemned zip-line tower.,story-world,active,B03-C27-S03,REV-B03-PHASE8,human-curated-v0.1,d3cc87fa9e8c,
P-B03-000108,Jackson Harrow is alive and being used as an Alpha-class battery.,story-world,active,B03-C27-S04,REV-B03-PHASE8,human-curated-v0.1,4fae1af740ce,
P-B03-000109,Valerius places the Iron Horse on a ten-minute collision course with the dam.,story-world,active,B03-C27-S05,REV-B03-PHASE8,human-curated-v0.1,cc51f018f576,
P-B03-000110,Margot destroys the Iron Horse Emitter and ends the Feral Signal.,story-world,active,B03-C28-S03,REV-B03-PHASE8,human-curated-v0.1,5eac9a003f09,
P-B03-000111,Jackson Harrow is freed from the Alpha battery tank.,story-world,active,B03-C28-S03,REV-B03-PHASE8,human-curated-v0.1,0b181c08425e,
P-B03-000112,The rear train cars decouple before the locomotive hits the dam.,story-world,active,B03-C28-S04,REV-B03-PHASE8,human-curated-v0.1,513fb2a2f68c,
P-B03-000113,The locomotive crashes without destroying the dam or valley.,story-world,active,B03-C28-S05,REV-B03-PHASE8,human-curated-v0.1,d562942e3a03,
P-B03-000114,Jackson recognizes Jonah after the crash.,relationship,active,B03-C28-S06,REV-B03-PHASE8,human-curated-v0.1,714ab28d1348,
P-B03-000115,Arthur Sterling collaborated for political advancement and control.,story-world,active,B03-C29-S02,REV-B03-PHASE8,human-curated-v0.1,ef4df2410173,
P-B03-000116,Margot invokes the original Charter to nullify Valerius's authority inside Sanctuary.,story-world,active,B03-C29-S03,REV-B03-PHASE8,human-curated-v0.1,f96b7ba29d35,
P-B03-000117,Margot transforms Valerius into a contained archival book.,story-world,active,B03-C29-S05,REV-B03-PHASE8,human-curated-v0.1,bbea51814d20,
P-B03-000118,Snowfall Creek becomes a Special Administrative Zone under a new Integration Act.,story-world,active,B03-C30-S02,REV-B03-PHASE8,human-curated-v0.1,f3883e4f6f07,
P-B03-000119,Jonah and Margot achieve a durable romantic and domestic HEA.,relationship,active,B03-C30-S03,REV-B03-PHASE8,human-curated-v0.1,5f68d29cef7f,
P-B03-000120,Jackson gives Jonah his old sheriff's badge and begins a museum role with Silas.,story-world,active,B03-C30-S04,REV-B03-PHASE8,human-curated-v0.1,63d4d1fdc343,
P-B03-000121,Silas becomes Speaker of the Council and the town adopts open inclusive governance.,story-world,active,B03-C30-S05,REV-B03-PHASE8,human-curated-v0.1,de0096bd24e4,
P-B03-000122,Cian arrives seeking the Necronomicon and claiming Aleksei's father may still live.,series-promise,active,B03-C30-S06,REV-B03-PHASE8,human-curated-v0.1,abc52726d5d3,
