assertion_id,proposition_id,subject_id,predicate,object_id_or_value,assertion_type,canonical_status,truth_status,epistemic_status,story_time,valid_from_scene,valid_to_scene,narrative_reveal_scene,viewpoint_context,reader_context,revision_context,source_document,source_span,source_quote,source_class,authority_level,confidence,review_status,supersedes,contradicts,derived_from,notes,story_graph_destination,normalized_predicate_class
A-B03-000021,P-B03-000013,CANON,CONTAINS,bibliovore and lexivore,story-world-fact,verified,true,not-applicable,,B03-C03-S02,,B03-C03-S02,Jonah Harrow,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C03-S02,,manuscript,4,high,human-verified,,,,,Logistics,state-or-custody
A-B03-000022,P-B03-000014,CANON,HAS_PROPERTY,distorted-space-and-direction,story-world-fact,verified,true,not-applicable,,B03-C03-S01,,B03-C03-S01,Jonah Harrow,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C03-S01,,manuscript,4,high,human-verified,,,,,Logistics,state-or-custody
A-B03-000023,P-B03-000017,CANON,EVENT_OCCURRED,Jonah injured by lexivore,on-page-event,verified,true,not-applicable,,B03-C03-S04,,B03-C03-S04,Jonah Harrow,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C03-S04,,manuscript,4,high,human-verified,,,,,Canon Commit Log,event
A-B03-000024,P-B03-000015,ANALYST,INTERPRETS,cooperation required,analytical-interpretation,analytical,unknown,not-applicable,,B03-C02-S05,,B03-C02-S05,Margot Vance,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C02-S05,,manuscript,4,medium,human-verified,,,,"Interpretive, not canonical.",Knowledge States,epistemic
A-B03-000025,P-B03-000016,CANON,EVENT_OCCURRED,enter B2 together,on-page-event,verified,true,not-applicable,,B03-C03-S05,,B03-C03-S05,Jonah Harrow,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C03-S05,,manuscript,4,high,human-verified,,,,,Canon Commit Log,event
A-B03-000026,P-B03-000019,Jonah Harrow,KNOWS,mutual desire,character-knowledge,character-belief,true,known,,B03-C04-S02,,B03-C04-S02,Margot Vance,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C04-S02,,manuscript,4,high,human-verified,,,,,Knowledge States,epistemic
A-B03-000027,P-B03-000019,Margot Vance,KNOWS,mutual desire,character-knowledge,character-belief,true,known,,B03-C04-S02,,B03-C04-S02,Margot Vance,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C04-S02,,manuscript,4,high,human-verified,,,,,Knowledge States,epistemic
A-B03-000028,P-B03-000020,CANON,EVENT_OCCURRED,consensual sexual intimacy,on-page-event,verified,true,not-applicable,,B03-C04-S03,,B03-C04-S03,Margot Vance,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C04-S03,,manuscript,4,high,human-verified,,,,,Canon Commit Log,event
A-B03-000029,P-B03-000021,CANON,HAS_PROPERTY,subjective gravity,story-world-fact,verified,true,not-applicable,,B03-C04-S05,,B03-C04-S05,Margot Vance,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C04-S05,,manuscript,4,high,human-verified,,,,,Logistics,state-or-custody
A-B03-000030,P-B03-000022,CANON,EVENT_OCCURRED,Concept Guardian blocks access,on-page-event,verified,true,not-applicable,,B03-C04-S05,,B03-C04-S05,Margot Vance,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C04-S05,,manuscript,4,high,human-verified,,,,,Canon Commit Log,event
A-B03-000031,P-B03-000023,CANON,EVENT_OCCURRED,Margot solves riddle,on-page-event,verified,true,not-applicable,,B03-C05-S01,,B03-C05-S01,Jonah Harrow,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C05-S01,,manuscript,4,high,human-verified,,,,,Canon Commit Log,event
A-B03-000032,P-B03-000024,CANON,HAS_PROPERTY,temporarily safe,story-world-fact,probable,true,not-applicable,,B03-C05-S02,,B03-C05-S02,Jonah Harrow,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C05-S02,,manuscript,4,high,human-verified,,,,,Logistics,state-or-custody
A-B03-000033,P-B03-000025,CANON,EVENT_OCCURRED,Margot resumes intimacy,on-page-event,verified,true,not-applicable,,B03-C05-S02,,B03-C05-S02,Jonah Harrow,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C05-S02,,manuscript,4,high,human-verified,,,,,Canon Commit Log,event
A-B03-000034,P-B03-000026,Jonah Harrow,KNOWS,Margot's inexperience,character-knowledge,character-belief,true,known,,B03-C05-S03,,B03-C05-S03,Jonah Harrow,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C05-S03,,manuscript,4,high,human-verified,,,,,Knowledge States,epistemic
A-B03-000035,P-B03-000027,CANON,HAS_PROPERTY,emotion-and-poetry traps,story-world-fact,verified,true,not-applicable,,B03-C06-S01,,B03-C06-S01,Jonah Harrow,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C06-S01,,manuscript,4,high,human-verified,,,,,Logistics,state-or-custody
A-B03-000036,P-B03-000028,CANON,EVENT_OCCURRED,Margot breaks poetic trap,on-page-event,verified,true,not-applicable,,B03-C06-S01,,B03-C06-S01,Jonah Harrow,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C06-S01,,manuscript,4,high,human-verified,,,,,Canon Commit Log,event
A-B03-000037,P-B03-000028,CANON,EVENT_OCCURRED,Margot rescues Jonah from courtroom trap,on-page-event,verified,true,not-applicable,,B03-C06-S03,,B03-C06-S03,Jonah Harrow,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C06-S03,,manuscript,4,high,human-verified,,,,,Canon Commit Log,event
A-B03-000038,P-B03-000029,ANALYST,INTERPRETS,Jonah guilt vulnerability,analytical-interpretation,analytical,unknown,not-applicable,,B03-C06-S03,,B03-C06-S03,Jonah Harrow,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C06-S03,,manuscript,4,medium,human-verified,,,,Interpretive arc claim.,Knowledge States,epistemic
A-B03-000039,P-B03-000030,CANON,EVENT_OCCURRED,future topside conversation agreed,on-page-event,verified,true,not-applicable,,B03-C05-S05,,B03-C05-S05,Jonah Harrow,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C05-S05,,manuscript,4,high,human-verified,,,,,Canon Commit Log,event
A-B03-000040,P-B03-000031,CANON,STATE_CONTINUES,twelve-hour countdown,story-world-fact,probable,true,not-applicable,,B03-C04-S01,,B03-C04-S01,Margot Vance,implied,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C04-S01,,manuscript,4,medium,human-verified,,,,Persistence inferred because no reset or cancellation occurs.,Logistics,state-or-custody
A-B03-000041,P-B03-000032,ANALYST,INTERPRETS,Margot as emotional anchor,analytical-interpretation,analytical,unknown,not-applicable,,B03-C06-S03,,B03-C06-S03,Jonah Harrow,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C06-S03,,manuscript,4,medium,human-verified,,,,Supported by repeated rescue and grounding behavior.,Knowledge States,epistemic
A-B03-000042,P-B03-000033,CANON,EVENT_OCCURRED,Sonnet Glade casts idealized romance,on-page-event,verified,true,not-applicable,,B03-C07-S01,,B03-C07-S01,Margot Vance,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C07-S01,,manuscript,4,high,human-verified,,,,,Canon Commit Log,event
A-B03-000043,P-B03-000034,CANON,EVENT_OCCURRED,Margot subverts and breaks the Glade,on-page-event,verified,true,not-applicable,,B03-C07-S03,,B03-C07-S03,Margot Vance,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C07-S03,,manuscript,4,high,human-verified,,,,,Canon Commit Log,event
A-B03-000044,P-B03-000035,CANON,HAS_STATUS,Scrolls hidden not stolen,story-world-fact,verified,true,not-applicable,,B03-C07-S05,,B03-C07-S05,Margot Vance,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C07-S05,,manuscript,4,high,human-verified,,,,,Logistics,state-or-custody
A-B03-000045,P-B03-000036,CANON,HAS_STATUS,official Treaty fraudulent,story-world-fact,verified,true,not-applicable,,B03-C08-S01,,B03-C08-S01,Jonah Harrow,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C08-S01,,manuscript,4,high,human-verified,,,,,Logistics,state-or-custody
A-B03-000046,P-B03-000037,CANON,DOCUMENTS,coercive supernatural servitude,story-world-fact,verified,true,not-applicable,,B03-C08-S01,,B03-C08-S01,Jonah Harrow,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C08-S01,,manuscript,4,high,human-verified,,,,,Canon Commit Log,event
A-B03-000047,P-B03-000038,Kael,WORKS_FOR,Council,story-world-fact,verified,true,known,,B03-C08-S01,,B03-C08-S01,Jonah Harrow,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C08-S01,,manuscript,4,high,human-verified,,,,,Relationships,relationship
A-B03-000048,P-B03-000039,CANON,EVENT_OCCURRED,Jonah defeats Kael; Kael escapes,on-page-event,verified,true,not-applicable,,B03-C08-S02,,B03-C08-S02,Jonah Harrow,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C08-S02,,manuscript,4,high,human-verified,,,,,Canon Commit Log,event
A-B03-000049,P-B03-000040,Margot Vance,BELIEVES,Jonah's Alpha nature is safe with her,relationship-belief,character-belief,true,known,,B03-C08-S03,,B03-C08-S03,Jonah Harrow,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C08-S03,,manuscript,4,high,human-verified,,,,,Knowledge States,epistemic
A-B03-000050,P-B03-000041,CANON,EVENT_OCCURRED,full sexual consummation,on-page-event,verified,true,not-applicable,,B03-C08-S05,,B03-C08-S05,Jonah Harrow,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C08-S05,,manuscript,4,high,human-verified,,,,,Canon Commit Log,event
A-B03-000051,P-B03-000042,Jonah Harrow,POSSESSES,Original Integration Treaty,custody-state,verified,true,known,,B03-C08-S05,,B03-C08-S05,Jonah Harrow,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C08-S05,,manuscript,4,high,human-verified,,,,,Logistics,state-or-custody
A-B03-000052,P-B03-000043,Arthur Sterling,ATTEMPTS,suppress or seize Treaty,on-page-event,verified,true,known,,B03-C09-S01,,B03-C09-S01,Margot Vance,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C09-S01,,manuscript,4,high,human-verified,,,,,Canon Commit Log,event
A-B03-000053,P-B03-000044,Margot Vance,CAUSES,public accountability event,analytical-event,analytical,unknown,not-applicable,,B03-C09-S02,,B03-C09-S02,Margot Vance,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C09-S02,,manuscript,4,high,human-verified,,,,,Canon Commit Log,event
A-B03-000054,P-B03-000045,Jonah Harrow,REVEALS,official history false,on-page-event,verified,true,known,,B03-C09-S04,,B03-C09-S04,Margot Vance,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C09-S04,,manuscript,4,high,human-verified,,,,,Knowledge States,epistemic
A-B03-000055,P-B03-000046,CANON,EVENT_OCCURRED,Sterling and mercenaries retreat,on-page-event,verified,true,not-applicable,,B03-C09-S05,,B03-C09-S05,Margot Vance,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C09-S05,,manuscript,4,high,human-verified,,,,,Canon Commit Log,event
A-B03-000056,P-B03-000047,Margot Vance,BELIEVES,she loves Jonah,character-state,character-belief,true,known,,B03-C09-S06,,B03-C09-S06,Margot Vance,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C09-S06,,manuscript,4,high,human-verified,,,,,Knowledge States,epistemic
A-B03-000057,P-B03-000048,Jonah Harrow,IDENTIFIES_AS,planned refuge,story-world-fact,verified,true,known,,B03-C09-S06,,B03-C09-S06,Margot Vance,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C09-S06,,manuscript,4,high,human-verified,,,,,Knowledge States,epistemic
A-B03-000058,P-B03-000049,CANON,HAS_PROPERTY,fortified off-grid refuge,story-world-fact,verified,true,not-applicable,,B03-C10-S01,,B03-C10-S01,Jonah Harrow,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C10-S01,,manuscript,4,high,human-verified,,,,,Logistics,state-or-custody
A-B03-000059,P-B03-000050,Jonah Harrow,COMMITS_TO,future together,relationship-state,verified,true,known,,B03-C10-S02,,B03-C10-S02,Jonah Harrow,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C10-S02,,manuscript,4,high,human-verified,,,,,Open Loops & Guns,promise-or-obligation
A-B03-000060,P-B03-000051,CANON,EVENT_OCCURRED,Margot treats Jonah,on-page-event,verified,true,not-applicable,,B03-C10-S03,,B03-C10-S03,Jonah Harrow,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C10-S03,,manuscript,4,high,human-verified,,,,,Canon Commit Log,event
A-B03-000061,P-B03-000052,Margot Vance,ACCEPTS,lifelong wolf bond,relationship-belief,character-belief,true,known,,B03-C10-S04,,B03-C10-S04,Jonah Harrow,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C10-S04,,manuscript,4,high,human-verified,,,,,Knowledge States,epistemic
A-B03-000062,P-B03-000053,Magisterium,ORDERS,surrender Margot,story-world-fact,verified,true,known,,B03-C10-S05,,B03-C10-S05,Jonah Harrow,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C10-S05,,manuscript,4,high,human-verified,,,,,Canon Commit Log,event
A-B03-000063,P-B03-000054,Original Integration Treaty,DOCUMENTS,disappearances since 1995,story-world-fact,verified,true,not-applicable,,B03-C11-S01,,B03-C11-S01,Shared POV (Jonah/Margot),explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C11-S01,,manuscript,4,high,human-verified,,,,,Canon Commit Log,event
A-B03-000064,P-B03-000055,Federal forces,ATTACK,Jonah's cabin,on-page-event,verified,true,known,,B03-C11-S02,,B03-C11-S02,Margot Vance,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C11-S02,,manuscript,4,high,human-verified,,,,,Canon Commit Log,event
A-B03-000065,P-B03-000056,CANON,EVENT_OCCURRED,root-cellar escape,on-page-event,verified,true,not-applicable,,B03-C11-S03,,B03-C11-S03,Jonah Harrow,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C11-S03,,manuscript,4,high,human-verified,,,,,Canon Commit Log,event
A-B03-000066,P-B03-000057,Jonah Harrow,MASKS,Treaty signature,on-page-event,verified,true,known,,B03-C12-S01,,B03-C12-S01,Margot Vance,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C12-S01,,manuscript,4,high,human-verified,,,,,Canon Commit Log,event
A-B03-000067,P-B03-000058,Jonah Harrow,SAVES,Margot from hypothermia,on-page-event,verified,true,known,,B03-C12-S02,,B03-C12-S02,Margot Vance,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C12-S02,,manuscript,4,high,human-verified,,,,,Canon Commit Log,event
A-B03-000068,P-B03-000059,Jonah Harrow,PLANS,return through mines,character-intention,verified,true,known,,B03-C12-S03,,B03-C12-S03,Margot Vance,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C12-S03,,manuscript,4,high,human-verified,,,,,Open Loops & Guns,promise-or-obligation
A-B03-000069,P-B03-000060,Margot Vance,ACCEPTS,Jonah full wolf form,relationship-state,verified,true,known,,B03-C12-S05,,B03-C12-S05,Margot Vance,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C12-S05,,manuscript,4,high,human-verified,,,,,Knowledge States,epistemic
A-B03-000070,P-B03-000061,Jonah wolf,RECOGNIZES_AS,Margot as pack,relationship-state,probable,true,inferred,,B03-C12-S05,,B03-C12-S05,Margot Vance,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C12-S05,,manuscript,4,high,human-verified,,,,,Knowledge States,epistemic
A-B03-000071,P-B03-000062,CANON,HAS_STATUS,mine tunnels actively used,story-world-fact,verified,true,not-applicable,,B03-C13-S01,,B03-C13-S01,Jonah Harrow,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C13-S01,,manuscript,4,high,human-verified,,,,,Logistics,state-or-custody
A-B03-000072,P-B03-000063,CANON,CORROBORATES,disappearance ledger,analytical-fact,analytical,unknown,not-applicable,,B03-C13-S02,,B03-C13-S02,Jonah Harrow,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C13-S02,,manuscript,4,medium,human-verified,,,,Inference from physical evidence.,Knowledge States,epistemic
A-B03-000073,P-B03-000064,Arthur Sterling,CONTROLS,quarantine narrative,story-world-fact,verified,true,known,,B03-C14-S01,,B03-C14-S01,Margot Vance,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C14-S01,,manuscript,4,high,human-verified,,,,,Logistics,state-or-custody
A-B03-000074,P-B03-000065,CANON,EVENT_OCCURRED,local resistance forms,on-page-event,verified,true,not-applicable,,B03-C14-S02,,B03-C14-S02,Margot Vance,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C14-S02,,manuscript,4,high,human-verified,,,,,Canon Commit Log,event
A-B03-000075,P-B03-000066,Resistance,DISTRIBUTES,Treaty evidence copies,on-page-event,verified,true,known,,B03-C14-S03,,B03-C14-S03,Margot Vance,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C14-S03,,manuscript,4,high,human-verified,,,,,Canon Commit Log,event
A-B03-000076,P-B03-000067,Sterling forces,ATTACK,resistance position,on-page-event,verified,true,known,,B03-C14-S04,,B03-C14-S04,Margot Vance,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C14-S04,,manuscript,4,high,human-verified,,,,,Canon Commit Log,event
A-B03-000077,P-B03-000068,CANON,HAS_STATUS,evidence outside Sterling control,story-world-fact,verified,true,not-applicable,,B03-C15-S01,,B03-C15-S01,Jonah Harrow,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C15-S01,,manuscript,4,high,human-verified,,,,,Logistics,state-or-custody
A-B03-000078,P-B03-000069,Resistance,DISCOVERS,surveillance compromise,on-page-event,verified,true,known,,B03-C15-S02,,B03-C15-S02,Jonah Harrow,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C15-S02,,manuscript,4,high,human-verified,,,,,Knowledge States,epistemic
A-B03-000079,P-B03-000070,External recipient,POSSESSES,Treaty evidence,custody-state,verified,true,known,,B03-C15-S03,,B03-C15-S03,Jonah Harrow,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C15-S03,,manuscript,4,high,human-verified,,,,,Logistics,state-or-custody
A-B03-000080,P-B03-000071,Jonah Harrow and Margot Vance,CHOOSE,active liberation strategy,character-intention,verified,true,known,,B03-C15-S04,,B03-C15-S04,Jonah Harrow,explicit,REV-B03-PHASE8,series/books/book-3/phase-8-editing/MANUSCRIPT.md,B03-C15-S04,,manuscript,4,high,human-verified,,,,,Canon Commit Log,event
