scene_id,book,chapter_index,chapter_heading,scene_index_in_chapter,word_count,source_file,source_hash,opening_line,closing_line,pov_candidate,story_time_candidate,explicit_time_markers,location_candidate,present_characters_candidate,scene_goal_candidate,opposition_candidate,turn_candidate,outcome_candidate,major_events_candidate,knowledge_gained_candidate,belief_changes_candidate,relationship_changes_candidate,objects_transferred_candidate,promises_introduced_candidate,promises_advanced_candidate,promises_paid_off_candidate,review_status,notes
B03-C03-S01,Book 3,3,Chapter 3,1,445,series/books/book-3/phase-8-editing/MANUSCRIPT.md,2f4956c5f13b5e58bb973946e96b69f714824ebe80357d150d22cb5e295ce342,**Jonah**,"""Libraries don't change, Sheriff."" She glanced back at him, her face strange and beautiful in the flashlight's edge. ""That's the whole point.""",Jonah Harrow,Immediately after entering B1,years ago,"Level B1, Extended Stacks",Jonah Harrow; Margot Vance,Orient within B1 and locate the route to B2.,Absolute darkness; pressure; whispering books; unstable space.,Margot reveals she relies on her grandmother's seventy-three-year-old journals.,They proceed into the eastern section despite unreliable geography.,Door closes behind them; they hear whispering; Margot explains B1 and its temperamental books.,Jonah learns B1 houses active books and Margot's route knowledge comes from inherited journals.,Jonah recognizes ordinary navigation may not work.,Jonah observes Margot's competence and inherited burden.,None.,The Deep Stacks distort space and contain escalating threats.,The descent becomes physically and psychologically hazardous.,The promised danger beyond the B1 door is confirmed.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional where applicable.
B03-C03-S02,Book 3,3,Chapter 3,2,447,series/books/book-3/phase-8-editing/MANUSCRIPT.md,457b1ee2ae32cb1c1b86b9e02e0b63cbbd1a04a0fb879a416b229ef086ab176e,"They walked in silence for a while, Margot leading with the flashlight and Jonah falling into a natural patrol position two steps behind and one to the side—close enough to intervene, far enough to react. The wolf approved. The wolf always approved of proper tactical spacing.",She had a point. He hated that she had a point.,Jonah Harrow,Shortly later,,Level B1 corridor,Jonah Harrow; Margot Vance; bibliovore,Move safely toward B2 without engaging the collection.,Whispering books; a flying book; bibliovore; non-Euclidean corridors.,Jonah catches a flying book and exposes a bibliovore.,"They continue, uncertain whether they are moving toward the stairs.",Books whisper; one launches at Margot; Jonah catches it; a bibliovore claims it; geography twists.,Jonah learns bibliovores feed on text and touching claimed books creates danger.,Jonah's confidence in his directional sense erodes.,Jonah reflexively protects Margot; Margot responds with dry trust rather than panic.,Flying book passes from shelf to Jonah to bibliovore.,Predators that consume text; unreliable time and direction.,B1's danger escalates from atmosphere to creature encounter.,Margot's warning that some books are active is demonstrated.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional where applicable.
B03-C03-S03,Book 3,3,Chapter 3,3,457,series/books/book-3/phase-8-editing/MANUSCRIPT.md,6705abe3530032d110d90a2be5a5265ae4af9da9b1653b94edb4a97b7c60d978,"The smell hit him again. Vanilla and ink and cinnamon, cutting through the must and decay like a blade through butter.","""*Now*.""",Jonah Harrow,Continuing through B1,night,Level B1 branching corridor,Jonah Harrow; Margot Vance; lexivore,Locate the stairs while Jonah controls the mate response.,Jonah's wolf; attraction; shifting geometry; approaching lexivore.,A shadow lexivore separates from the wall and attacks.,Jonah places himself between Margot and the creature.,Jonah's wolf identifies Margot as mate again; Margot catches him staring; they detect a learning shadow; lexivore emerges.,They learn the changed whispering belongs to an active predator.,Margot recognizes the sound is abnormal; Jonah's protective commitment becomes immediate.,Attraction becomes explicit in their interaction; Jonah instinctively protects her.,None.,Jonah's mate recognition will conflict with professional restraint.,Romantic tension and physical danger intensify together.,The ominous whispering resolves into a concrete threat.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional where applicable.
B03-C03-S04,Book 3,3,Chapter 3,4,457,series/books/book-3/phase-8-editing/MANUSCRIPT.md,3dfd4467dcd308ae11bb627915fb4d74ad1f5bd46fa062c5cebbb1d7cc86a413,The shadow lunged.,"""Worse,"" she admitted quietly. ""Definitely worse.""",Jonah Harrow,Immediately afterward,,Level B1 corridor and stairs to B2,Jonah Harrow; Margot Vance; lexivore,Survive the lexivore and reach B2.,A creature feeding on language and meaning.,Margot discovers that books can distract the lexivore.,They escape to the B2 door; the lexivore cannot cross levels.,Lexivore attacks and frost-burns Jonah; Margot uses flashlight and sacrificial books; they run to B2.,"They learn lexivores recoil from light, consume books, and are bound to B1.",Jonah recognizes Margot as tactically resourceful; Margot admits B2 is worse.,They fight back-to-back and function as a team.,Several books are thrown to and consumed by the lexivore.,B2 contains worse and different dangers.,The descent exacts a physical cost and strengthens partnership.,They locate the stairs to B2 and escape B1.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional where applicable.
B03-C03-S05,Book 3,3,Chapter 3,5,426,series/books/book-3/phase-8-editing/MANUSCRIPT.md,618aaeb4afffc5fa2b5ff28e89289876c621afe483214a4f7577b026c21461ee,"The door to Level B2 was covered in symbols that made Jonah's eyes water. He looked away, focusing on the burn on his shoulder instead. The skin was already healing—wolf metabolism was good for something—but it itched like hell and the cold was still there, lodged under his flesh like a splinter of ",And they started walking.,Jonah Harrow,Immediately after escaping B1,,B2 doorway and Architecture Section,Jonah Harrow; Margot Vance; unidentified entity below,Open B2 and proceed toward the Heart of the Archive.,Jonah's injury; resistant wards; impossible architecture; unknown watcher.,Margot takes Jonah's hand and they agree to continue together.,They enter B2 and begin navigating impossible stairs.,Margot opens B2; explains Architecture Section; they see gravity-defying stairs and an unknown entity.,Jonah learns B2 contains actual impossible spaces and may lack a floor.,Both accept that survival requires mutual reliance.,Voluntary handholding and explicit 'together' commitment mark a trust and intimacy step.,Margot uses and retains the key; hand contact established.,Unknown entity beneath B2; impossible-space navigation.,The romantic partnership becomes explicit while the mission deepens.,The warning that B2 is worse is visually confirmed.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional where applicable.
B03-C04-S01,Book 3,4,Chapter 4,1,556,series/books/book-3/phase-8-editing/MANUSCRIPT.md,0570962801014e2f713e04331bd4b5dc82a3341bdfe988247ddf7bbb28af39fb,**Margot**,"""The monster is gone."" He leaned closer. ""This isn'tfear.""",Margot Vance,,,"B2 landing, Architecture Section entrance",Margot Vance; Jonah Harrow,Recover from B1 and assess Jonah's injury before crossing B2.,"Exhaustion, Jonah's injury, unstable attraction, impossible architecture.",Jonah examines Margot's shaking hands and their physical tension becomes unavoidable.,Margot acknowledges the reaction between them and the scene shifts toward intimacy.,They recover after escaping B1; Jonah checks Margot; Margot notices Jonah's blood and wolf state.,Margot confirms Jonah is injured but functional; both recognize the intensity between them.,Margot stops treating the attraction as mere fear or ward interference.,Mutual attraction becomes consciously acknowledged.,Jonah holds the flashlight; no lasting transfer confirmed.,Physical intimacy will complicate the mission and professional roles.,Romantic tension moves from subtext to explicit desire.,The attraction seeded in Chapters 1–3 becomes openly recognized.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional.
B03-C04-S02,Book 3,4,Chapter 4,2,461,series/books/book-3/phase-8-editing/MANUSCRIPT.md,2b4db8ca4430a37b839c1c795221be2ee70224b9183759f265438668e7b6f658,It wasn't fear.,"""I don't want you to stop,"" she whispered.",Margot Vance,,,B2 landing against the sealed door,Margot Vance; Jonah Harrow,Decide whether to stop or act on their attraction.,"Mission urgency, Margot's secrecy, Jonah's authority, fear of consequences.",Margot says she does not want Jonah to stop.,They consent to sexual contact.,Jonah cages Margot against the door; mate language emerges; he asks her to stop him; she refuses.,Each learns the other actively wants the encounter.,Margot rejects the explanation that desire is only magical interference.,Consent and desire become explicit; power and vulnerability intensify.,None.,The relationship now carries emotional and professional consequences.,Mate-bond and attraction promises escalate sharply.,Mutual desire is confirmed.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional.
B03-C04-S03,Book 3,4,Chapter 4,3,414,series/books/book-3/phase-8-editing/MANUSCRIPT.md,8afb49c90fe58a7c433ea7b820578b5b1728400d6bf1c0a9ffee3fdf25baede7,He didn't kiss her. Not yet.,"He held her through it, his face buried in her neck again, breathing hard, his own control fraying at the edges but holding—barely.",Margot Vance,,,B2 landing,Margot Vance; Jonah Harrow,Act on mutual desire during a brief pause in danger.,Time pressure and Jonah's remaining restraint.,Margot reaches orgasm while Jonah retains partial control.,The first explicit sexual encounter occurs but remains incomplete for Jonah.,Jonah pleasures Margot manually; they kiss; Margot climaxes.,Margot learns Jonah can be both commanding and attentive; Jonah learns her physical response.,Margot's fear of intimacy temporarily yields to trust and surrender.,Physical intimacy becomes real and irreversible.,None.,Later completion and emotional reckoning.,Romantic and mate-bond arcs move into explicit intimacy.,Early sexual-tension promise receives a major partial payoff.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional.
B03-C04-S04,Book 3,4,Chapter 4,4,464,series/books/book-3/phase-8-editing/MANUSCRIPT.md,e24ab3d36137e25f49e0e8fb535796962ec25ff3cdb4a0ac66e7ee620c3bfc60,"Silence returned to the landing, heavy and awkward.","""Okay,"" he said. ""How do we not fall?""",Margot Vance,,,B2 landing overlooking impossible geometry,Margot Vance; Jonah Harrow,Regain composure and continue toward B3.,Aftermath of intimacy; impossible architecture; mission urgency.,"They confront the floorless, gravity-shifting B2 environment.",The pair refocus on crossing B2.,Jonah tenderly helps Margot recover; they inspect impossible stairways and floating structures.,Jonah learns B2 contains rejected architectural impossibilities and no reliable floor.,Both accept that intimacy did not erase the mission or partnership.,"Tenderness follows urgency, deepening trust.",Flashlight remains in active use.,B2 navigation challenge.,Quest danger resumes after romantic escalation.,The promise that B2 is worse is concretely demonstrated.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional.
B03-C04-S05,Book 3,4,Chapter 4,5,582,series/books/book-3/phase-8-editing/MANUSCRIPT.md,a0fad16179cd0d0c35f1cd21bc483af8df2712585a3bd5a5c8929fa105c57574,"""Gravity is subjective,"" Margot said, quoting her grandmother's journals. ""Believe in the surface, and the surface will hold you.""","""You smell better. Like pine and repressed desire. Delicious.""",Margot Vance,,,B2 floating paths and Central Spire landing,Margot Vance; Jonah Harrow; Concept Guardian cat,Cross B2 and gain access to Level B3.,"Subjective gravity, abyss, Concept Guardian riddle.",The Guardian demands a riddle answer and threatens to eat Jonah.,They reach the Central Spire but cannot yet pass.,Margot and Jonah traverse floating architecture; encounter giant tattooed Sphinx cat; riddle begins.,They learn B2 obeys belief-dependent gravity and access to B3 is guarded by a Concept Guardian.,Jonah accepts Margot's metaphysical guidance despite skepticism.,Trust is demonstrated through following Margot across impossible terrain.,None.,Solve the riddle or Jonah dies; Concept Guardian knowledge.,B2 quest reaches a gatekeeping challenge.,They successfully cross the impossible paths to the Central Spire.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional.
B03-C05-S01,Book 3,5,Chapter 5,1,530,series/books/book-3/phase-8-editing/MANUSCRIPT.md,7ee4dfd67e37f2d73902e491443959ba6503de233230be1d306016c7557037a7,**Jonah**,"""That would have gotten us eaten."" She looked up at him, and there it was again—that spark. That friction. The way the air between them seemed to thicken whenever they stood too close. ""Come on. The door is unlocked.""",Jonah Harrow,,,B2 Central Spire landing,Jonah Harrow; Margot Vance; Concept Guardian cat,Solve the Guardian's riddle before Jonah is eaten.,"Semantic riddle, countdown, Guardian's threat.",Margot identifies the answer as plans for buildings that were never approved or built.,The Guardian accepts the answer and unlocks the door.,Guardian counts down; Margot reasons through possible versus actual architecture; door opens.,Jonah sees Margot solve a conceptual threat through expertise rather than force.,Jonah's respect for Margot's intelligence deepens.,Competence admiration and romantic tension intensify.,None.,A safe resting point beyond the door.,Quest access to B3 is earned.,Riddle-cat threat is fully resolved.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional.
B03-C05-S02,Book 3,5,Chapter 5,2,439,series/books/book-3/phase-8-editing/MANUSCRIPT.md,a42a0a37cdbd73a13ce407a729dd74f504596c1c897d2e0b638860322f314597,"The door was heavy, but it moved smoothly on its hinges, revealing a space that was startlingly normal.","""Good."" She reached out and grabbed the lapels of his uniform jacket, yanking him down. ""Because we didn't finish what we started upstairs.""",Jonah Harrow,,,Resting Point study between B2 and B3,Jonah Harrow; Margot Vance,Recover safely before entering B3.,"Residual danger, unresolved attraction, limited time.",Margot initiates renewed intimacy and states they did not finish upstairs.,They choose consensual intimacy in a safe space.,They enter Victorian study; confirm it is temporarily safe; discuss trust; Margot pulls Jonah to her.,Jonah learns Margot's desire is deliberate rather than panic-driven.,Jonah distinguishes mutual desire from crisis reaction.,Margot becomes active initiator; trust and agency deepen.,None.,Intimacy will continue on chosen terms.,The earlier incomplete encounter is intentionally resumed.,The promise of later completion begins fulfillment.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional.
B03-C05-S03,Book 3,5,Chapter 5,3,432,series/books/book-3/phase-8-editing/MANUSCRIPT.md,e90ce9184cbd48261d52c39755f482dea0b4f8c159dccb4458e2f1f3f1d9289c,Her mouth tasted like vanilla and adrenaline.,He buried his face in her.,Jonah Harrow,,,"Resting Point study, oak desk",Jonah Harrow; Margot Vance,Confirm consent and focus on Margot's pleasure.,Margot's inexperience and vulnerability; mission pause is brief.,Margot reveals no one has done this for her before.,Jonah commits to being her first in this form of intimacy.,Margot is lifted onto desk; Jonah confirms desire; he kneels and undresses her.,Jonah learns Margot's sexual inexperience and desire for him.,Jonah's protectiveness becomes tender sexual devotion.,Intimacy becomes more personal and emotionally significant.,Margot's clothing is moved but retained.,Jonah's vow to 'rewrite' her experience.,Sexual trust deepens.,Consent and chosen desire are reaffirmed.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional.
B03-C05-S04,Book 3,5,Chapter 5,4,383,series/books/book-3/phase-8-editing/MANUSCRIPT.md,740b3874a2c9490e2b90f1b05f35629c45336eb421cfbd42eca51db5a9ad498d,She tasted like sugar and salt. Like a secret kept for too long.,It was the most peaceful moment he'd had in twenty years.,Jonah Harrow,,,Resting Point study,Jonah Harrow; Margot Vance,Give Margot pleasure and safety.,Margot's overwhelm and unfamiliarity.,Margot climaxes and Jonah holds her through recovery.,"A second, more deliberate sexual encounter creates peace and closeness.",Jonah performs oral sex; Margot climaxes; he comforts her afterward.,"Both learn the intimacy can be chosen, focused, and safe.",Margot's model of intimacy shifts from danger to trust; Jonah experiences unusual peace.,Emotional tenderness and sexual trust strengthen.,None.,Future mutual intimacy and post-crisis relationship conversation.,Romantic bond gains emotional depth.,The incomplete sexual encounter from Chapter 4 receives a stronger partial payoff.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional.
B03-C05-S05,Book 3,5,Chapter 5,5,460,series/books/book-3/phase-8-editing/MANUSCRIPT.md,38830025a8a64a9ecd7937ee2a51039b5930d68914ec9c17e78a3721b3f37c5d,"Eventually, the silence stretched too long.","They stepped onto the iron stairs, and the darkness swallowed them whole.",Jonah Harrow,,,Resting Point study and stairs to B3,Jonah Harrow; Margot Vance,"Recover, define immediate boundaries, and descend to B3.",Unresolved emotional implications; dangerous Poetry Section.,"They agree a longer conversation must happen topside, then choose to continue hand in hand.",They enter B3 together with greater trust.,Aftercare; Jonah promises future conversation; Margot explains B3 emotional traps; descent begins.,Jonah learns B3 weaponizes memory and emotion.,Both accept the encounter was meaningful and not merely crisis behavior.,Commitment becomes provisional but explicit beyond immediate survival.,None.,Topside relationship conversation; B3 emotional trial.,Romance and quest remain linked.,Safe-space intimacy concludes with mutual commitment to continue.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional.
B03-C06-S01,Book 3,6,Chapter 6,1,457,series/books/book-3/phase-8-editing/MANUSCRIPT.md,34b33bfdf9608b97b8b7d9e64a21fa69995e9cc2d2e5eee20325fd53b6a431b7,**Jonah**,"""We stay on the path,"" she instructed. ""Establish a rhythm. Don't stop walking. And whatever you do, don't read the trees.""",Jonah Harrow,,,Spiral stairs into B3 Poetry Section,Jonah Harrow; Margot Vance,Enter B3 without being trapped by emotional associations.,Memory-triggering atmosphere and poetry-fed shame.,Jonah is briefly trapped in a grief poem before Margot breaks the contact.,They establish rules: keep moving and do not read the trees.,Atmosphere triggers memories; Jonah touches poetic text; Margot frees him.,Jonah learns B3 can force emotional experiences and trap readers inside poems.,Jonah accepts Margot's warning that language itself is dangerous here.,Margot becomes Jonah's emotional anchor and rescuer.,None.,"B3 will weaponize guilt, memory, and emotion.",The Poetry Section threat is demonstrated.,Margot's warning about emotional danger is immediately validated.,human-validated-v0.1,Validated against Phase 8 manuscript; interpretive fields remain provisional.
