normalized_event_id,book_id,start_scene_id,end_scene_id,event_label,event_type,participant_entity_ids,participant_roles,continuity_group_id,source_span,source_quote,evidence_status,canonical_status,review_status,review_rationale
N-EVT-B03-C03-S03-001,B03,B03-C03-S03,B03-C03-S03,Jonah's wolf again identifies Margot as mate,epistemic_recurrence,ENT-CHAR-0001,Jonah:knower;Margot:referenced,MATE-RECOGNITION,B03-C03-S03,"*Mate*, the wolf purred. *Ours*.",event-specific,candidate,structured-review-v1.0,Recurrence strengthens persistence but does not create the original fact.
N-EVT-B03-C03-S03-002,B03,B03-C03-S03,B03-C03-S03,Margot notices Jonah staring and confronts him,relationship_exchange,ENT-CHAR-0002;ENT-CHAR-0001,Margot:observer;Jonah:observed,MATE-RECOGNITION,B03-C03-S03,"""You're staring, Sheriff.""",event-specific,candidate,structured-review-v1.0,Retained as knowledge asymmetry and intimacy beat.
N-EVT-B03-C03-S03-003,B03,B03-C03-S03,B03-C03-S03,Jonah and Margot detect a learning shadow before the lexivore emerges,threat_revelation,ENT-CHAR-0001;ENT-CHAR-0002;ENT-CREATURE-0002,Jonah:detector;Margot:detector;lexivore:threat,LEXIVORE-ENCOUNTER,B03-C03-S03,The shadow moved.,event-specific,candidate,structured-review-v1.0,Merges detection and emergence.
N-EVT-B03-C03-S04-001,B03,B03-C03-S04,B03-C03-S04,The lexivore attacks and frost-burns Jonah,injury_event,ENT-CREATURE-0002;ENT-CHAR-0001;ENT-CHAR-0002,lexivore:attacker;Jonah:injured;Margot:witness,LEXIVORE-ENCOUNTER,B03-C03-S04,"It moved wrong—too fast, too fluid, ignoring the physics that governed normal motion. Jonah's instincts had him dodging before his brain caught up, rolling sideways as the thing swept through the space where he'd been standing. Cold raked across his shoulder, burns like frostbite, and he hissed through his teeth.",event-specific,candidate,structured-review-v1.0,Event-specific injury.
N-EVT-B03-C03-S04-002,B03,B03-C03-S04,B03-C03-S04,Margot uses light and sacrificial books to distract the lexivore,tactical_action,ENT-CHAR-0002;ENT-CREATURE-0002;ENT-OBJ-0004;ENT-OBJ-0007,Margot:actor;lexivore:target;flashlight:tool;books:sacrifice,LEXIVORE-ENCOUNTER,B03-C03-S04,"She thrust the flashlight forward, and where the beam touched the shadow, it *recoiled*. The thing shrieked—a sound of stolen voices all screaming at once—and pulled back, reforming itself in the darkness beyond the reach of the single weak beam.",event-specific,candidate,structured-review-v1.0,Jonah is protected but not the actor.
N-EVT-B03-C03-S04-003,B03,B03-C03-S04,B03-C03-S04,Jonah and Margot escape B1 and reach the B2 door,escape,ENT-CHAR-0001;ENT-CHAR-0002;ENT-CREATURE-0002;ENT-LOC-0008,Jonah:escapee;Margot:escapee;lexivore:pursuer;B2:destination,B2-TRANSITION,B03-C03-S04,They ran.,event-specific,candidate,structured-review-v1.0,Ends B1 encounter and begins B2 transition.
N-EVT-B03-C03-S05-001,B03,B03-C03-S05,B03-C03-S05,Margot opens the B2 door and Jonah follows her into the Architecture Section,threshold_crossing,ENT-CHAR-0002;ENT-CHAR-0001;ENT-LOC-0008,Margot:actor;Jonah:companion;B2:destination,B2-TRANSITION,B03-C03-S05,The door groaned open.,event-specific,candidate,structured-review-v1.0,Separates threshold action from later discovery.
N-EVT-B03-C03-S05-002,B03,B03-C03-S05,B03-C03-S05,Margot explains that B2 contains actual impossible spaces,disclosure,ENT-CHAR-0002;ENT-CHAR-0001;ENT-LOC-0008,Margot:speaker;Jonah:recipient;B2:subject,B2-TRANSITION,B03-C03-S05,"""Level B2,"" Margot said, her voice dropping to barely above a whisper. ""The Architecture Section. The books here don't just contain knowledge about construction and design—they contain actual spaces. Rooms that shouldn't exist. Buildings that were never built.""",event-specific,candidate,structured-review-v1.0,Mission-relevant rule explanation.
N-EVT-B03-C03-S05-003,B03,B03-C03-S05,B03-C03-S05,They discover gravity-defying stairs and an unknown entity below,discovery,ENT-CHAR-0001;ENT-CHAR-0002;ENT-CHAR-0007,Jonah:perceiver;Margot:perceiver;unknown-entity:observed,B2-TRANSITION,B03-C03-S05,"And beneath it all, far below where any floor should have been, something *looked back*.",event-specific,candidate,structured-review-v1.0,Unknown entity becomes an explicit continuity hook.
N-EVT-B03-C03-S05-004,B03,B03-C03-S05,B03-C03-S05,Margot takes Jonah's hand and they explicitly commit to continue together,relationship_commitment,ENT-CHAR-0002;ENT-CHAR-0001,Margot:initiator;Jonah:recipient;both:committers,MATE-RECOGNITION,B03-C03-S05,"""Together,"" she agreed.",event-specific,candidate,structured-review-v1.0,New event omitted by scene-major-events extraction; material trust and relationship state change.
