event_id,scene_id,event_label,continuity_group_id,reason
N-EVT-B03-C12-S01-004,B03-C12-S01,Jonah decides they must cross the river despite lethal weather,RIVER-CROSSING,No child-thread rule reached assignment threshold
N-EVT-B03-C12-S02-001,B03-C12-S02,Margot and Jonah cross the frozen river,RIVER-CROSSING,No child-thread rule reached assignment threshold
N-EVT-B03-C12-S02-002,B03-C12-S02,They evade the helicopter spotlight during the crossing,RIVER-CROSSING,No child-thread rule reached assignment threshold
N-EVT-B03-C12-S02-003,B03-C12-S02,Margot becomes unable to move from cold exposure,HYPOTHERMIA,No child-thread rule reached assignment threshold
N-EVT-B03-C12-S02-004,B03-C12-S02,Jonah removes Margot's wet clothing and deploys an emergency blanket,HYPOTHERMIA,No child-thread rule reached assignment threshold
N-EVT-B03-C12-S02-005,B03-C12-S02,Jonah begins skin-to-skin warming,HYPOTHERMIA,No child-thread rule reached assignment threshold
N-EVT-B03-C12-S03-001,B03-C12-S03,Margot's body temperature begins to recover,HYPOTHERMIA,No child-thread rule reached assignment threshold
N-EVT-B03-C12-S03-002,B03-C12-S03,The pursuing helicopter leaves the area,WILDERNESS-FLIGHT,No child-thread rule reached assignment threshold
N-EVT-B03-C12-S03-003,B03-C12-S03,Jonah decides to circle back through the old mining tunnels,MINE-ROUTE,No child-thread rule reached assignment threshold
N-EVT-B03-C12-S03-004,B03-C12-S03,Margot stabilizes enough to continue,HYPOTHERMIA,No child-thread rule reached assignment threshold
N-EVT-B03-C12-S04-001,B03-C12-S04,Margot and Jonah put on dry clothes and resume travel,MINE-ROUTE,No child-thread rule reached assignment threshold
N-EVT-B03-C12-S04-002,B03-C12-S04,Jonah tracks the route toward the mine entrance in wolf mode,MINE-ROUTE,No child-thread rule reached assignment threshold
N-EVT-B03-C12-S04-003,B03-C12-S04,A Yeti appears and blocks the route,YETI-ENCOUNTER,No child-thread rule reached assignment threshold
N-EVT-B03-C12-S04-004,B03-C12-S04,Jonah fully shifts into wolf form to fight without shooting the Yeti,YETI-ENCOUNTER,No child-thread rule reached assignment threshold
N-EVT-B03-C12-S05-001,B03-C12-S05,Jonah fights the Yeti in wolf form,YETI-ENCOUNTER,No child-thread rule reached assignment threshold
N-EVT-B03-C12-S05-002,B03-C12-S05,Margot fires a warning shot into the air,YETI-ENCOUNTER,No child-thread rule reached assignment threshold
N-EVT-B03-C12-S05-003,B03-C12-S05,The Yeti retreats,YETI-ENCOUNTER,No child-thread rule reached assignment threshold
N-EVT-B03-C12-S05-006,B03-C12-S05,Margot and Jonah enter the old mine,MINE-ROUTE,No child-thread rule reached assignment threshold
N-EVT-B03-C13-S01-001,B03-C13-S01,Jonah shifts back,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C13-S01-002,B03-C13-S01,Margot gives him his clothes,CH13-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C13-S01-003,B03-C13-S01,he explains Alpha combat form and the danger of remaining full wolf,CH13-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C13-S01-004,B03-C13-S01,they confirm temporary safety,CH13-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C13-S02-001,B03-C13-S02,Jonah explains the Undercity,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C13-S02-002,B03-C13-S02,they enter the Hive,CH13-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C13-S02-003,B03-C13-S02,Iron-Jaw confronts them,CH13-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C13-S02-004,B03-C13-S02,Margot is identified as the Keeper,CH13-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C13-S02-005,B03-C13-S02,news of the riot and Pack blockade is delivered,TOWN-HALL-UPRISING,No child-thread rule reached assignment threshold
N-EVT-B03-C13-S02-006,B03-C13-S02,Iron-Jaw provides the route,CH13-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C13-S03-001,B03-C13-S03,They discuss Pack loyalty and hope,CH13-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C13-S03-002,B03-C13-S03,Jonah identifies the pressure-release timing,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C13-S03-003,B03-C13-S03,Margot asks for the Wolf,CH13-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C13-S03-004,B03-C13-S03,they have sex,CH13-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C13-S03-005,B03-C13-S03,the valve vents,CH13-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C13-S03-006,B03-C13-S03,they escape into the safety niche and continue,CH13-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C14-S01-001,B03-C14-S01,Margot climbs to the roof,CH14-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C14-S01-002,B03-C14-S01,they observe a disciplined human-monster coalition in the square,TOWN-HALL-UPRISING,No child-thread rule reached assignment threshold
N-EVT-B03-C14-S01-003,B03-C14-S01,Jonah spots snipers,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C14-S01-004,B03-C14-S01,he proposes a skylight insertion,CH14-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C14-S02-001,B03-C14-S02,Bridge crossing,CH14-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C14-S02-002,B03-C14-S02,spotlight evasion,CH14-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C14-S02-003,B03-C14-S02,shotgun breach,CH14-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C14-S02-004,B03-C14-S02,fall through skylight,CH14-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C14-S02-005,B03-C14-S02,guards surrender under Jonah's Alpha command,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C14-S02-006,B03-C14-S02,Margot restrains them,CH14-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C14-S03-001,B03-C14-S03,Jonah breaches the office,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C14-S03-004,B03-C14-S03,Sterling shoots Jonah,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C14-S04-001,B03-C14-S04,Aleksei crashes through the window,CH14-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C14-S04-003,B03-C14-S04,Margot identifies the silver wound,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C14-S04-004,B03-C14-S04,Jonah insists she address the town,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C14-S04-005,B03-C14-S04,she takes the microphone,CH14-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C14-S05-001,B03-C14-S05,Margot broadcasts the truth,TOWN-HALL-UPRISING,No child-thread rule reached assignment threshold
N-EVT-B03-C14-S05-002,B03-C14-S05,humans and supernatural residents celebrate together,CH14-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C14-S05-003,B03-C14-S05,Jonah briefly rallies,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C15-S01-004,B03-C15-S01,Jonah loses the Wolf,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C15-S01-005,B03-C15-S01,Aleksei loses vampiric power,CH15-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C15-S02-002,B03-C15-S02,humans and monsters separated,CH15-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C15-S02-003,B03-C15-S02,Mrs. Gable struck,CH15-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C15-S02-005,B03-C15-S02,group selects roof route,CH15-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C15-S03-001,B03-C15-S03,Rooftop crossing,CH15-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C15-S03-002,B03-C15-S03,Aleksei tackles Jonah out of a sniper shot,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C15-S03-003,B03-C15-S03,repeated fire,CH15-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C15-S03-004,B03-C15-S03,group reaches Civic Center cover,CH15-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C15-S03-005,B03-C15-S03,Margot discovers communications jamming and proposes the duct route,CH15-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C15-S04-001,B03-C15-S04,Margot crawls through ducts,CH15-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C15-S04-002,B03-C15-S04,soldiers search below,CH15-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C15-S04-003,B03-C15-S04,group drops into locker room,CH15-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C15-S04-004,B03-C15-S04,Henderson emerges with a mop spear,CH15-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C15-S04-005,B03-C15-S04,he offers the lead-lined pump room,CH15-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C15-S05-001,B03-C15-S05,Industrial bio-foam and staples applied,CH15-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C15-S05-002,B03-C15-S05,Jonah's heartbeat stabilizes,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C15-S05-003,B03-C15-S05,need for Wolf blood identified,CH15-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C15-S05-004,B03-C15-S05,radio reveals processing at ice rink,CH15-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C15-S05-005,B03-C15-S05,Margot proposes sabotage and communications restoration,CH15-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C16-S01-001,B03-C16-S01,Jonah wakes,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C16-S01-002,B03-C16-S01,calls for the Wolf,CH16-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C16-S01-003,B03-C16-S01,fails to shift,CH16-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C16-S01-004,B03-C16-S01,Aleksei explains Henderson's treatment,CH16-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C16-S01-005,B03-C16-S01,Jonah learns Margot is scavenging,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C16-S02-001,B03-C16-S02,Aleksei explains six hours have passed,CH16-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C16-S02-002,B03-C16-S02,lead shielding is confirmed,CH16-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C16-S02-003,B03-C16-S02,both describe physical deterioration,CH16-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C16-S03-001,B03-C16-S03,Margot returns with food,CH16-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C16-S03-002,B03-C16-S03,supports Jonah,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C16-S03-003,B03-C16-S03,confirms magic-level sorting,CH16-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C16-S03-004,B03-C16-S03,Henderson provides map,CH16-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C16-S03-005,B03-C16-S03,Jonah begins territorial analysis,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C16-S04-003,B03-C16-S04,Jonah declares himself a liability,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C16-S04-004,B03-C16-S04,roles assigned,CH16-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C16-S04-005,B03-C16-S04,Margot accepts leadership,CH16-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C16-S05-001,B03-C16-S05,Henderson builds improvised explosives,CH16-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C16-S05-002,B03-C16-S05,Aleksei takes crowbar,CH16-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C16-S05-004,B03-C16-S05,Jonah gives firearm instructions,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C16-S05-005,B03-C16-S05,radio check,CH16-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C16-S05-007,B03-C16-S05,team departs,CH16-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C17-S01-002,B03-C17-S01,radio contact weakens,CH17-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C17-S01-003,B03-C17-S01,Henderson uses reactive drain cleaner,CH17-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C17-S01-004,B03-C17-S01,grate opens,CH17-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C17-S01-005,B03-C17-S01,Margot checks Jonah's map,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C17-S02-001,B03-C17-S02,Troopers discuss freezing detainees,CH17-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C17-S02-002,B03-C17-S02,Jonah orders mission focus,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C17-S02-004,B03-C17-S02,override sends team upward,CH17-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C17-S02-005,B03-C17-S02,weapons drawn,CH17-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C17-S03-003,B03-C17-S03,Margot accuses him of genocide,CH17-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C17-S03-004,B03-C17-S03,bag is retained as evidence,CH17-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C17-S03-005,B03-C17-S03,Henderson signals opportunity,CH17-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C17-S04-001,B03-C17-S04,Captives forced to kneel,CH17-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C17-S04-002,B03-C17-S04,purge ordered,CH17-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C17-S04-003,B03-C17-S04,Margot rejects fight/run/talk options,CH17-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C17-S04-004,B03-C17-S04,Henderson signals,CH17-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C17-S04-005,B03-C17-S04,Margot throws lighter,CH17-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C17-S05-002,B03-C17-S05,magic returns,CH17-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C17-S05-003,B03-C17-S05,Aleksei regains vampire power,CH17-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C17-S05-005,B03-C17-S05,Jonah reports transformation,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C17-S05-006,B03-C17-S05,Pack howls,CH17-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C18-S01-001,B03-C18-S01,Magic returns,CH18-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C18-S01-002,B03-C18-S01,silver expelled,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C18-S01-003,B03-C18-S01,wound heals,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C18-S01-004,B03-C18-S01,transformation occurs,CH18-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C18-S01-005,B03-C18-S01,Henderson spared and accepted,CH18-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C18-S01-006,B03-C18-S01,duct grate destroyed,CH18-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C18-S02-001,B03-C18-S02,Jonah drops from vent,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C18-S02-002,B03-C18-S02,overhears Alpha-level heat warning,CH18-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C18-S02-003,B03-C18-S02,incapacitates two troopers,CH18-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C18-S02-004,B03-C18-S02,follows Pack scent,CH18-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C18-S02-005,B03-C18-S02,bursts through doors,CH18-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C18-S03-001,B03-C18-S03,Jonah howls,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C18-S03-002,B03-C18-S03,wolves rally,CH18-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C18-S03-003,B03-C18-S03,lead transport attacked,CH18-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C18-S03-004,B03-C18-S03,coordinated disabling action,CH18-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C18-S03-006,B03-C18-S03,Sarah reports Margot passed toward the access road,CH18-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C18-S04-001,B03-C18-S04,Jonah runs uphill,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C18-S04-002,B03-C18-S04,sees overturned jeep,CH18-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C18-S04-003,B03-C18-S04,finds team,CH18-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C18-S04-004,B03-C18-S04,shifts,CH18-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C18-S04-005,B03-C18-S04,embraces Margot,CH18-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C18-S04-006,B03-C18-S04,confirms restored magic,CH18-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C18-S04-007,B03-C18-S04,Aleksei points to sky,CH18-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C18-S05-002,B03-C18-S05,school rejected,CH18-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C18-S05-005,B03-C18-S05,"Pack, Trolls, and Aleksei assigned",CH18-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C19-S01-002,B03-C19-S01,convoy flees through alley,CH19-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C19-S01-003,B03-C19-S01,wounded supernatural allies retreat toward library,JONAH-INJURY,No child-thread rule reached assignment threshold
N-EVT-B03-C19-S02-001,B03-C19-S02,Library communicates with Margot,CH19-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C19-S02-002,B03-C19-S02,lockdown systems activate,CH19-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C19-S02-003,B03-C19-S02,gargoyle sonic defenses engage,CH19-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C19-S03-001,B03-C19-S03,Survivors cross lawn under fire,CH19-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C19-S03-002,B03-C19-S03,all enter,CH19-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C19-S03-003,B03-C19-S03,doors and iron deadbolts seal,CH19-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
N-EVT-B03-C19-S03-004,B03-C19-S03,service hoist is selected,CH19-LOCAL-SEQUENCE,No child-thread rule reached assignment threshold
