normalized_event_id,book_id,start_scene_id,end_scene_id,event_label,event_type,participant_entity_ids,participant_roles,continuity_group_id,source_span,source_quote,evidence_status,canonical_status,review_status,review_rationale
N-EVT-B03-C05-S01-003,B03,B03-C05-S01,B03-C05-S01,Margot answers with plans for buildings never approved or built,solution,ENT-CHAR-0002;ENT-CREATURE-0003;ENT-CHAR-0001,Margot:solver;Guardian:judge;Jonah:beneficiary,GUARDIAN-RIDDLE,B03-C05-S01,plans for buildings that never get approved,event-specific-candidate,candidate,scaled-batch-v1.0,Provides the accepted solution.
N-EVT-B03-C05-S01-004,B03,B03-C05-S01,B03-C05-S01,The Guardian accepts the answer and unlocks the passage,system_resolution,ENT-CREATURE-0003;ENT-CHAR-0002;ENT-CHAR-0001,Guardian:actor;Margot:successful-solver;Jonah:spared,GUARDIAN-RIDDLE,B03-C05-S01,The Guardian accepts the answer and unlocks the door,event-specific-candidate,candidate,scaled-batch-v1.0,Resolves the obstacle and removes the death threat.
N-EVT-B03-C05-S02-001,B03,B03-C05-S02,B03-C05-S02,Margot and Jonah enter the Resting Point Study,threshold_crossing,ENT-CHAR-0002;ENT-CHAR-0001;ENT-LOC-0011,Margot:entrant;Jonah:entrant;Study:destination,RESTING-POINT,B03-C05-S02,It looked like a study,event-specific-candidate,candidate,scaled-batch-v1.0,Creates temporary safe-space state.
N-EVT-B03-C05-S02-002,B03,B03-C05-S02,B03-C05-S02,Margot confirms the Resting Point is temporarily safe,rule_disclosure,ENT-CHAR-0002;ENT-CHAR-0001;ENT-LOC-0011,Margot:speaker;Jonah:recipient;Study:subject,RESTING-POINT,B03-C05-S02,It's safe?,event-specific-candidate,candidate,scaled-batch-v1.0,Establishes bounded safety.
N-EVT-B03-C05-S02-003,B03,B03-C05-S02,B03-C05-S02,Margot and Jonah discuss trust and unfinished intimacy,relationship_discussion,ENT-CHAR-0002;ENT-CHAR-0001,Margot:speaker;Jonah:recipient,SECOND-INTIMACY,B03-C05-S02,we didn't finish upstairs,event-specific-candidate,candidate,scaled-batch-v1.0,Converts unresolved sexual asymmetry into explicit topic.
N-EVT-B03-C05-S02-004,B03,B03-C05-S02,B03-C05-S02,Margot initiates renewed intimacy,consent_initiation,ENT-CHAR-0002;ENT-CHAR-0001,Margot:initiator;Jonah:recipient,SECOND-INTIMACY,B03-C05-S02,Margot pulls Jonah to her,event-specific-candidate,candidate,scaled-batch-v1.0,Creates new deliberate intimacy distinct from panic reaction.
N-EVT-B03-C05-S03-001,B03,B03-C05-S03,B03-C05-S03,Jonah lifts Margot onto the desk and confirms this is deliberate desire,consent_confirmation,ENT-CHAR-0001;ENT-CHAR-0002,Jonah:actor;Margot:recipient,SECOND-INTIMACY,B03-C05-S03,This is me wanting you,event-specific-candidate,candidate,scaled-batch-v1.0,Separates deliberate desire from earlier panic.
N-EVT-B03-C05-S03-002,B03,B03-C05-S03,B03-C05-S03,Jonah kneels and states his intention to pleasure Margot,sexual_commitment,ENT-CHAR-0001;ENT-CHAR-0002,Jonah:actor;Margot:recipient,SECOND-INTIMACY,B03-C05-S03,I'm going to taste you,event-specific-candidate,candidate,scaled-batch-v1.0,Explicit intention and consent boundary.
N-EVT-B03-C05-S03-003,B03,B03-C05-S03,B03-C05-S03,Margot reveals this form of intimacy is new to her,personal_disclosure,ENT-CHAR-0002;ENT-CHAR-0001,Margot:speaker;Jonah:recipient,SECOND-INTIMACY,B03-C05-S03,No one has done this for her before,event-specific-candidate,candidate,scaled-batch-v1.0,Changes Jonah's understanding and responsibility.
N-EVT-B03-C05-S04-001,B03,B03-C05-S04,B03-C05-S04,Jonah performs oral sex on Margot,sexual_action,ENT-CHAR-0001;ENT-CHAR-0002,Jonah:actor;Margot:recipient,SECOND-INTIMACY,B03-C05-S04,She tasted like sugar and salt,event-specific-candidate,candidate,scaled-batch-v1.0,Primary deliberate sexual act.
N-EVT-B03-C05-S04-002,B03,B03-C05-S04,B03-C05-S04,Margot climaxes during the deliberate encounter,sexual_climax,ENT-CHAR-0002;ENT-CHAR-0001,Margot:climaxing;Jonah:actor,SECOND-INTIMACY,B03-C05-S04,Margot climaxes,event-specific-candidate,candidate,scaled-batch-v1.0,Completes the encounter's immediate goal.
N-EVT-B03-C05-S04-003,B03,B03-C05-S04,B03-C05-S04,Jonah comforts Margot through recovery,aftercare,ENT-CHAR-0001;ENT-CHAR-0002,Jonah:actor;Margot:recipient,SECOND-INTIMACY,B03-C05-S04,he comforts her afterward,event-specific-candidate,candidate,scaled-batch-v1.0,Creates safety and closeness.
N-EVT-B03-C05-S05-001,B03,B03-C05-S05,B03-C05-S05,Jonah and Margot acknowledge that a larger conversation must wait until they are safe,boundary_decision,ENT-CHAR-0001;ENT-CHAR-0002,Jonah:initiator;Margot:participant,RELATIONSHIP-ESCALATION,B03-C05-S05,when we get top-side,event-specific-candidate,candidate,scaled-batch-v1.0,Defers relationship definition without denying it.
N-EVT-B03-C05-S05-002,B03,B03-C05-S05,B03-C05-S05,Margot explains B3's emotional and poetic traps,hazard_briefing,ENT-CHAR-0002;ENT-CHAR-0001;ENT-LOC-0012,Margot:speaker;Jonah:recipient;B3:subject,B3-DESCENT,B03-C05-S05,B3 emotional traps,event-specific-candidate,candidate,scaled-batch-v1.0,Creates operating rules for the next level.
N-EVT-B03-C05-S05-003,B03,B03-C05-S05,B03-C05-S05,Margot and Jonah begin the descent to B3 hand in hand,threshold_crossing,ENT-CHAR-0002;ENT-CHAR-0001;ENT-LOC-0012,Margot:actor;Jonah:companion;B3:destination,B3-DESCENT,B03-C05-S05,descent begins,event-specific-candidate,candidate,scaled-batch-v1.0,Combines mission progression with relationship-state evidence.
N-EVT-B03-C06-S01-001,B03,B03-C06-S01,B03-C06-S01,B3's atmosphere triggers involuntary memory associations,environment_effect,ENT-CHAR-0001;ENT-CHAR-0002;ENT-LOC-0012,Jonah:affected;Margot:affected;B3:environment,B3-FOREST,B03-C06-S01,It smells like my dad's aftershave,event-specific-candidate,candidate,scaled-batch-v1.0,Establishes the level's emotional mechanism.
N-EVT-B03-C06-S01-002,B03,B03-C06-S01,B03-C06-S01,Jonah touches poetic text and becomes trapped in grief,psychological_trap,ENT-CHAR-0001;ENT-CHAR-0002;ENT-LOC-0012,Jonah:trapped;Margot:witness;B3:environment,B3-FOREST,B03-C06-S01,Jonah touches poetic text,event-specific-candidate,candidate,scaled-batch-v1.0,First direct capture by B3.
N-EVT-B03-C06-S01-003,B03,B03-C06-S01,B03-C06-S01,Margot breaks Jonah's contact with the poem,rescue,ENT-CHAR-0002;ENT-CHAR-0001,Margot:rescuer;Jonah:rescued,B3-FOREST,B03-C06-S01,Margot frees him,event-specific-candidate,candidate,scaled-batch-v1.0,Restores Jonah's agency.
N-EVT-B03-C06-S01-004,B03,B03-C06-S01,B03-C06-S01,Margot and Jonah establish rules to keep moving and avoid reading the trees,operating_decision,ENT-CHAR-0002;ENT-CHAR-0001;ENT-LOC-0012,Margot:rule-setter;Jonah:agrees;B3:environment,B3-FOREST,B03-C06-S01,keep moving and do not read the trees,event-specific-candidate,candidate,scaled-batch-v1.0,Creates explicit survival protocol.
N-EVT-B03-C06-S02-001,B03,B03-C06-S02,B03-C06-S02,Jonah and Margot enter the forest of textual trees,threshold_crossing,ENT-CHAR-0001;ENT-CHAR-0002;ENT-LOC-0012,Jonah:entrant;Margot:entrant;B3:environment,B3-FOREST,B03-C06-S02,They stepped off the stairs and into the mist,event-specific-candidate,candidate,scaled-batch-v1.0,Moves them fully into the hazard zone.
N-EVT-B03-C06-S02-002,B03,B03-C06-S02,B03-C06-S02,The forest injects intrusive memories while they move,environment_attack,ENT-CHAR-0001;ENT-CHAR-0002;ENT-LOC-0012,Jonah:affected;Margot:affected;B3:environment,B3-FOREST,B03-C06-S02,memories intrude,event-specific-candidate,candidate,scaled-batch-v1.0,Shows adaptive emotional attack.
N-EVT-B03-C06-S02-003,B03,B03-C06-S02,B03-C06-S02,Margot instructs Jonah to detach and act as a critic rather than a reader,tactical_instruction,ENT-CHAR-0002;ENT-CHAR-0001,Margot:instructor;Jonah:recipient,B3-FOREST,B03-C06-S02,"Be a critic, not a reader",event-specific-candidate,candidate,scaled-batch-v1.0,Supplies cognitive defense.
N-EVT-B03-C06-S02-004,B03,B03-C06-S02,B03-C06-S02,Jonah uses counting and hand contact to resist the forest's rhythm,coping_action,ENT-CHAR-0001;ENT-CHAR-0002,Jonah:actor;Margot:anchor,B3-FOREST,B03-C06-S02,Jonah counts steps,event-specific-candidate,candidate,scaled-batch-v1.0,Operationalizes the defense.
N-EVT-B03-C06-S03-001,B03,B03-C06-S03,B03-C06-S03,The mist separates Jonah from Margot,separation,ENT-CHAR-0001;ENT-CHAR-0002;ENT-LOC-0012,Jonah:separated;Margot:separated;B3:environment,VILLANELLE-TRAP,B03-C06-S03,a wall of white rolled over them,event-specific-candidate,candidate,scaled-batch-v1.0,Removes Jonah's primary anchor.
N-EVT-B03-C06-S03-002,B03,B03-C06-S03,B03-C06-S03,Jonah is drawn into an illusionary courtroom,psychological_trap,ENT-CHAR-0001;ENT-EVENT-0001,Jonah:trapped;Villanelle:mechanism,VILLANELLE-TRAP,B03-C06-S03,State your name for the record,event-specific-candidate,candidate,scaled-batch-v1.0,Begins identity assault.
N-EVT-B03-C06-S03-003,B03,B03-C06-S03,B03-C06-S03,Illusory accusers attack Jonah's identity and guilt,psychological_attack,ENT-CHAR-0001;ENT-EVENT-0001,Jonah:target;Villanelle:mechanism,VILLANELLE-TRAP,B03-C06-S03,accusations attack his identity,event-specific-candidate,candidate,scaled-batch-v1.0,Escalates the trap toward self-erasure.
N-EVT-B03-C06-S03-004,B03,B03-C06-S03,B03-C06-S03,Margot reaches Jonah and tells him to edit out the bad stanza,rescue_instruction,ENT-CHAR-0002;ENT-CHAR-0001;ENT-EVENT-0001,Margot:rescuer;Jonah:recipient;Villanelle:target,VILLANELLE-TRAP,B03-C06-S03,edit out the bad stanza,event-specific-candidate,candidate,scaled-batch-v1.0,Provides the trap-breaking action.
N-EVT-B03-C06-S03-005,B03,B03-C06-S03,B03-C06-S03,The courtroom illusion collapses,trap_resolution,ENT-CHAR-0001;ENT-CHAR-0002;ENT-EVENT-0001,Jonah:released;Margot:rescuer;Villanelle:ended,VILLANELLE-TRAP,B03-C06-S03,The illusion collapses,event-specific-candidate,candidate,scaled-batch-v1.0,Resolves the immediate capture.
N-EVT-B03-C06-S04-001,B03,B03-C06-S04,B03-C06-S04,Margot reveals that Jonah was physically turning into text,state_revelation,ENT-CHAR-0002;ENT-CHAR-0001;ENT-EVENT-0001,Margot:speaker;Jonah:subject;Villanelle:cause,VILLANELLE-TRAP,B03-C06-S04,You were turning into text,event-specific-candidate,candidate,scaled-batch-v1.0,Confirms bodily stakes beyond hallucination.
N-EVT-B03-C06-S04-002,B03,B03-C06-S04,B03-C06-S04,Ink-text recedes from Jonah's body,state_recovery,ENT-CHAR-0001;ENT-EVENT-0001,Jonah:recovering;Villanelle:former-cause,JONAH-INJURY,B03-C06-S04,The fabric was dissolving into ink,event-specific-candidate,candidate,scaled-batch-v1.0,Records recovery from transformation.
N-EVT-B03-C06-S04-003,B03,B03-C06-S04,B03-C06-S04,Margot identifies the trap as a Villanelle that loops guilt into assimilation,rule_disclosure,ENT-CHAR-0002;ENT-CHAR-0001;ENT-EVENT-0001,Margot:speaker;Jonah:recipient;Villanelle:subject,VILLANELLE-TRAP,B03-C06-S04,You got caught in a Villanelle,event-specific-candidate,candidate,scaled-batch-v1.0,Formalizes the mechanism.
N-EVT-B03-C06-S04-004,B03,B03-C06-S04,B03-C06-S04,Margot and Jonah resume toward B4 using rhythm and physical contact,travel_decision,ENT-CHAR-0002;ENT-CHAR-0001;ENT-LOC-0012,Margot:companion;Jonah:companion;B3:environment,B3-FOREST,B03-C06-S04,they continue,event-specific-candidate,candidate,scaled-batch-v1.0,Restores coordinated movement after the trap.
