continuity_group_id,start_scene_id,end_scene_id,event_count,scene_count,status,scope
RIVER-CROSSING,B03-C12-S01,B03-C12-S02,3,2,candidate,cross-scene
HYPOTHERMIA,B03-C12-S02,B03-C12-S03,5,2,candidate,cross-scene
MINE-ROUTE,B03-C12-S03,B03-C12-S05,4,3,candidate,cross-scene
YETI-ENCOUNTER,B03-C12-S04,B03-C12-S05,5,2,candidate,cross-scene
CH13-LOCAL-SEQUENCE,B03-C13-S01,B03-C13-S03,12,3,candidate,cross-scene
TOWN-HALL-UPRISING,B03-C13-S02,B03-C25-S01,4,4,candidate,cross-scene
CH14-LOCAL-SEQUENCE,B03-C14-S01,B03-C14-S05,10,4,candidate,cross-scene
FINAL-CONFRONTATION,B03-C14-S03,B03-C30-S02,15,15,candidate,cross-scene
MAGISTERIUM-OCCUPATION,B03-C14-S05,B03-C17-S03,5,4,candidate,cross-scene
CH15-LOCAL-SEQUENCE,B03-C15-S01,B03-C15-S05,17,5,candidate,cross-scene
EMITTER-SABOTAGE,B03-C15-S01,B03-C28-S03,7,7,candidate,cross-scene
GUNSHIP-BATTLE,B03-C15-S01,B03-C29-S04,6,6,candidate,cross-scene
CH16-LOCAL-SEQUENCE,B03-C16-S01,B03-C16-S05,15,5,candidate,cross-scene
CH17-LOCAL-SEQUENCE,B03-C17-S01,B03-C17-S05,17,5,candidate,cross-scene
RESORT-INFILTRATION,B03-C17-S01,B03-C17-S03,3,3,candidate,cross-scene
CH18-LOCAL-SEQUENCE,B03-C18-S01,B03-C18-S05,20,5,candidate,cross-scene
CURE-DELIVERY,B03-C18-S03,B03-C25-S06,2,2,candidate,cross-scene
ARCHIVES-DEFENSE,B03-C18-S05,B03-C21-S03,5,4,candidate,cross-scene
CH19-LOCAL-SEQUENCE,B03-C19-S01,B03-C19-S05,11,5,candidate,cross-scene
CH20-LOCAL-SEQUENCE,B03-C20-S01,B03-C20-S03,6,3,candidate,cross-scene
WILD-HUNT,B03-C20-S01,B03-C25-S04,7,7,candidate,cross-scene
CH21-LOCAL-SEQUENCE,B03-C21-S01,B03-C21-S06,14,6,candidate,cross-scene
RESISTANCE-MISSION,B03-C21-S04,B03-C30-S04,4,4,candidate,cross-scene
CH22-LOCAL-SEQUENCE,B03-C22-S01,B03-C22-S06,13,6,candidate,cross-scene
CH23-LOCAL-SEQUENCE,B03-C23-S01,B03-C23-S06,21,6,candidate,cross-scene
CH24-LOCAL-SEQUENCE,B03-C24-S01,B03-C24-S06,18,6,candidate,cross-scene
CH25-LOCAL-SEQUENCE,B03-C25-S01,B03-C25-S06,10,6,candidate,cross-scene
CH26-LOCAL-SEQUENCE,B03-C26-S01,B03-C26-S06,18,6,candidate,cross-scene
CH27-LOCAL-SEQUENCE,B03-C27-S01,B03-C27-S05,14,5,candidate,cross-scene
IRON-HORSE,B03-C27-S02,B03-C27-S02,1,1,candidate,single-scene
CH28-LOCAL-SEQUENCE,B03-C28-S01,B03-C28-S06,17,6,candidate,cross-scene
CH29-LOCAL-SEQUENCE,B03-C29-S01,B03-C29-S06,12,6,candidate,cross-scene
CH30-LOCAL-SEQUENCE,B03-C30-S01,B03-C30-S06,20,6,candidate,cross-scene
