original_event_id,scene_id,original_label,disposition,normalized_event_id,normalized_label,actual_participant_entity_ids,event_specific_evidence_quote,multi_scene_continuity_group,review_notes
EVT-B03-C01-S04-001,B03-C01-S04,Jonah descends,KEEP,N-EVT-B03-C01-S04-001,Jonah descends into the transformed basement,ENT-CHAR-0001,"That flickering blue-white light spilled up the stairs, a silent warning painting the walls in pulsing shadows that moved in ways light shouldn't move. Jonah drew his sidearm—silver rounds, standard issue for Snowfall Creek, effective against about 80% of the things that went bump in the night—and started down.",LIBRARY-DISTURBANCE,Candidate survives with event-specific review.
EVT-B03-C01-S04-002,B03-C01-S04,discovers expanded magical basement,MERGE_TARGET,N-EVT-B03-C01-S04-002,Jonah discovers the impossible basement and Margot containing animated books,ENT-CHAR-0001;ENT-CHAR-0002,And in the eye of that storm—,LIBRARY-DISTURBANCE,Candidate anchors a merged normalized event.
EVT-B03-C01-S04-003,B03-C01-S04,sees flying books and Margot containing them.,MERGE,N-EVT-B03-C01-S04-002,Jonah discovers the impossible basement and Margot containing animated books,ENT-CHAR-0001;ENT-CHAR-0002,And in the eye of that storm—,LIBRARY-DISTURBANCE,Fragment is absorbed into a larger causal event.
EVT-B03-C01-S05-001,B03-C01-S05,Closing the door drops the books,KEEP,N-EVT-B03-C01-S05-001,Jonah closes the basement door and the animated books fall dormant,ENT-CHAR-0001;ENT-CHAR-0002,The flying books fell.,LIBRARY-CONTAINMENT,Candidate survives with event-specific review.
EVT-B03-C01-S05-002,B03-C01-S05,Margot identifies the library's age and hidden history,RELABEL,N-EVT-B03-C01-S05-002,Margot acknowledges the library's concealed magical history,ENT-CHAR-0002;ENT-CHAR-0001,"""Sheriff Harrow."" She straightened up, cradling the book against her chest like a sleeping child. Her dark eyes met his for the first time in—he couldn't remember the last time she'd actually *looked* at him, not with that polite averted gaze librarians seemed to cultivate as a survival mechanism. This was direct. This was assessing. This was... *something*. ""How much do you know about the history of this library?""",LIBRARY-CONTAINMENT,"Material event survives, but label, type, or participants required correction."
EVT-B03-C01-S05-003,B03-C01-S05,the building seals.,RELABEL,N-EVT-B03-C01-S05-003,The library seals every exit,ENT-CHAR-0001;ENT-CHAR-0002,"Every door in the building, sealing itself shut with a sound like the final note of a symphony.",PURGE-ACTIVATION,"Material event survives, but label, type, or participants required correction."
EVT-B03-C02-S01-001,B03-C02-S01,Margot gathers books,REJECT_NON_MATERIAL,,,,,,Action does not independently change a tracked narrative state.
EVT-B03-C02-S01-002,B03-C02-S01,explains the library predates the town and contains remembering books and protective wards.,RELABEL,N-EVT-B03-C02-S01-001,Margot discloses that the library contains remembering books and protective wards,ENT-CHAR-0002;ENT-CHAR-0001,"""The library has... protections,"" she continued, moving to the next pile of debris. ""Wards, I suppose you'd call them. They keep certain things contained. Certain *knowledge* from getting out.""",SCROLL-CRISIS,"Material event survives, but label, type, or participants required correction."
EVT-B03-C02-S02-001,B03-C02-S02,Margot finds a three-scroll gap,MERGE_TARGET,N-EVT-B03-C02-S02-001,Margot discovers that the Founding Scrolls are missing,ENT-CHAR-0002;ENT-CHAR-0001;ENT-OBJ-0001,"""Hold on."" She moved faster now, shoving books aside with an urgency that bordered on violence. Her cardigan caught on a shelf bracket and she yanked it free, hearing fabric tear, not caring. The gap was where the Founding Scrolls should have been. Where they had been for over a century, since her grandmother's grandmother had brought them here and hidden them from everyone who might want to destroy what they contained.",SCROLL-CRISIS,Candidate anchors a merged normalized event.
EVT-B03-C02-S02-002,B03-C02-S02,identifies the missing Founding Scrolls,MERGE,N-EVT-B03-C02-S02-001,Margot discovers that the Founding Scrolls are missing,ENT-CHAR-0002;ENT-CHAR-0001;ENT-OBJ-0001,"""Hold on."" She moved faster now, shoving books aside with an urgency that bordered on violence. Her cardigan caught on a shelf bracket and she yanked it free, hearing fabric tear, not caring. The gap was where the Founding Scrolls should have been. Where they had been for over a century, since her grandmother's grandmother had brought them here and hidden them from everyone who might want to destroy what they contained.",SCROLL-CRISIS,Fragment is absorbed into a larger causal event.
EVT-B03-C02-S02-003,B03-C02-S02,Jonah steadies her physically.,RELABEL,N-EVT-B03-C02-S02-002,Jonah steadies Margot and interrupts her panic,ENT-CHAR-0001;ENT-CHAR-0002,"His hand closed around her elbow, steadying her, and the touch was so unexpected—so *warm* in the cold of the basement—that she forgot to panic about the missing Scrolls and started panicking about something else entirely.",MATE-RECOGNITION,"Material event survives, but label, type, or participants required correction."
EVT-B03-C02-S03-001,B03-C02-S03,Margot explains the Scrolls concern the town's founding and monsters,KEEP,N-EVT-B03-C02-S03-001,Margot reveals that the Scrolls contain dangerous truths about the town and monsters,ENT-CHAR-0002;ENT-CHAR-0001;ENT-OBJ-0001,"She didn't say that. Instead, she said: ""From people who would destroy them. The Scrolls contain... inconvenient truths. About how this town was really founded. About what the monsters are really doing here.""",SCROLL-CRISIS,Candidate survives with event-specific review.
EVT-B03-C02-S03-002,B03-C02-S03,doors seal,RELABEL,N-EVT-B03-C02-S03-002,The Purge Protocol seals the library completely,ENT-CHAR-0001;ENT-CHAR-0002,"Sealed. Magically, physically, completely sealed.",PURGE-ACTIVATION,"Material event survives, but label, type, or participants required correction."
EVT-B03-C02-S03-003,B03-C02-S03,she reveals the purge deadline.,RELABEL,N-EVT-B03-C02-S03-003,Margot reveals the twelve-hour erasure deadline,ENT-CHAR-0002;ENT-CHAR-0001,"""In twelve hours,"" she said, ""the library will seal itself permanently. And everything inside it—every book, every secret, every *person*—will be erased.""",PURGE-ACTIVATION,"Material event survives, but label, type, or participants required correction."
EVT-B03-C02-S04-001,B03-C02-S04,Jonah tests exits,KEEP,N-EVT-B03-C02-S04-001,Jonah tests physical escape routes and confirms they are blocked,ENT-CHAR-0001;ENT-CHAR-0002,Nothing.,PURGE-ACTIVATION,Candidate survives with event-specific review.
EVT-B03-C02-S04-002,B03-C02-S04,Meredith appears,KEEP,N-EVT-B03-C02-S04-002,Meredith's hologram manifests and identifies the active protocol,ENT-CHAR-0006;ENT-CHAR-0001;ENT-CHAR-0002,"Before she could answer, the air in front of them shimmered.",PURGE-ACTIVATION,Candidate survives with event-specific review.
EVT-B03-C02-S04-003,B03-C02-S04,protocol terms are explained,RELABEL,N-EVT-B03-C02-S04-003,Meredith explains that recovery requires Level B4 access,ENT-CHAR-0006;ENT-CHAR-0002;ENT-CHAR-0001;ENT-LOC-0009,"The hologram paused. Calculated. ""Recovery would require deep-level access. Level B4. The Heart of the Archive.""",RECOVERY-MISSION,"Material event survives, but label, type, or participants required correction."
EVT-B03-C02-S04-004,B03-C02-S04,Margot chooses the recovery route.,RELABEL,N-EVT-B03-C02-S04-004,Margot commits to recovering the Scrolls through Level B4,ENT-CHAR-0002;ENT-CHAR-0001,"""Then that's where we go.""",RECOVERY-MISSION,"Material event survives, but label, type, or participants required correction."
EVT-B03-C02-S05-001,B03-C02-S05,Margot explains four lower levels,KEEP,N-EVT-B03-C02-S05-001,Margot explains the four lower levels and their escalating instability,ENT-CHAR-0002;ENT-CHAR-0001,"""Below the basement."" She turned and started walking. Not toward the front doors they couldn't open, not toward the windows they couldn't break. Toward the door at the back of the main floor—the one marked STAFF ONLY, the one that led down to where this nightmare had started. ""The library has four levels below ground. Level B1 is where you found me. Level B4 is... deeper.""",RECOVERY-MISSION,Candidate survives with event-specific review.
EVT-B03-C02-S05-002,B03-C02-S05,retrieves flashlight and key,RELABEL,N-EVT-B03-C02-S05-002,Margot equips herself with the flashlight and B1 key,ENT-CHAR-0002;ENT-OBJ-0003;ENT-OBJ-0004,"""I don't know. No one's been there since my grandmother was a girl."" She pushed through the STAFF ONLY door and descended the stairs, pulling a flashlight from the emergency kit mounted on the wall. The red emergency lights didn't extend down here; the darkness was absolute, pressing against the beam of her flashlight like a physical thing. ""The Deep Stacks are... unstable. The architecture changes. The books are more... active.""",RECOVERY-MISSION,"Material event survives, but label, type, or participants required correction."
EVT-B03-C02-S05-003,B03-C02-S05,opens B1 entrance.,RELABEL,N-EVT-B03-C02-S05-003,Margot opens the B1 entrance and enters the Deep Stacks with Jonah,ENT-CHAR-0002;ENT-CHAR-0001;ENT-LOC-0007,Then she stepped into the dark.,DEEP-STACKS-DESCENT,"Material event survives, but label, type, or participants required correction."
EVT-B03-C03-S01-001,B03-C03-S01,Door closes behind them,MERGE_TARGET,N-EVT-B03-C03-S01-001,The B1 door closes behind them as the whispering collection activates,ENT-CHAR-0001;ENT-CHAR-0002,"He stepped through after her, and the door swung shut behind them with a finality that made his teeth ache.",DEEP-STACKS-DESCENT,Candidate anchors a merged normalized event.
EVT-B03-C03-S01-002,B03-C03-S01,they hear whispering,MERGE,N-EVT-B03-C03-S01-001,The B1 door closes behind them as the whispering collection activates,ENT-CHAR-0001;ENT-CHAR-0002,"He stepped through after her, and the door swung shut behind them with a finality that made his teeth ache.",DEEP-STACKS-DESCENT,Fragment is absorbed into a larger causal event.
EVT-B03-C03-S01-003,B03-C03-S01,Margot explains B1 and its temperamental books.,RELABEL,N-EVT-B03-C03-S01-002,Margot explains B1's active books and unreliable route knowledge,ENT-CHAR-0002;ENT-CHAR-0001;ENT-LOC-0007,"""The journals are seventy-three years old. My grandmother was the last person to navigate the Deep Stacks.""",DEEP-STACKS-DESCENT,"Material event survives, but label, type, or participants required correction."
EVT-B03-C03-S02-001,B03-C03-S02,Books whisper,REJECT_REDUNDANT,,,,,,Condition is already represented and does not create a distinct state change.
EVT-B03-C03-S02-002,B03-C03-S02,one launches at Margot,MERGE_TARGET,N-EVT-B03-C03-S02-001,A flying book attacks Margot; Jonah catches it; a bibliovore takes it,ENT-CHAR-0001;ENT-CHAR-0002;ENT-CREATURE-0001,A book launched itself from the shelf at eye level.,DEEP-STACKS-DESCENT,Candidate anchors a merged normalized event.
EVT-B03-C03-S02-003,B03-C03-S02,Jonah catches it,MERGE,N-EVT-B03-C03-S02-001,A flying book attacks Margot; Jonah catches it; a bibliovore takes it,ENT-CHAR-0001;ENT-CHAR-0002;ENT-CREATURE-0001,A book launched itself from the shelf at eye level.,DEEP-STACKS-DESCENT,Fragment is absorbed into a larger causal event.
EVT-B03-C03-S02-004,B03-C03-S02,a bibliovore claims it,MERGE,N-EVT-B03-C03-S02-001,A flying book attacks Margot; Jonah catches it; a bibliovore takes it,ENT-CHAR-0001;ENT-CHAR-0002;ENT-CREATURE-0001,A book launched itself from the shelf at eye level.,DEEP-STACKS-DESCENT,Fragment is absorbed into a larger causal event.
EVT-B03-C03-S02-005,B03-C03-S02,geography twists.,RELABEL,N-EVT-B03-C03-S02-002,B1's corridor geometry distorts Jonah's direction and time sense,ENT-CHAR-0001;ENT-CHAR-0002;ENT-LOC-0007,"The corridor twisted ahead—literally twisted, the walls curving in ways that shouldn't have been geometrically possible. His sense of direction, usually as reliable as a compass, was starting to spin. They had been walking for maybe five minutes, but it felt like longer. Or shorter. Time was slippery down here.",DEEP-STACKS-DESCENT,"Material event survives, but label, type, or participants required correction."
EVT-B03-C03-S03-001,B03-C03-S03,Jonah's wolf identifies Margot as mate again,RELABEL,N-EVT-B03-C03-S03-001,Jonah's wolf again identifies Margot as mate,ENT-CHAR-0001,"*Mate*, the wolf purred. *Ours*.",MATE-RECOGNITION,"Material event survives, but label, type, or participants required correction."
EVT-B03-C03-S03-002,B03-C03-S03,Margot catches him staring,KEEP,N-EVT-B03-C03-S03-002,Margot notices Jonah staring and confronts him,ENT-CHAR-0002;ENT-CHAR-0001,"""You're staring, Sheriff.""",MATE-RECOGNITION,Candidate survives with event-specific review.
EVT-B03-C03-S03-003,B03-C03-S03,they detect a learning shadow,MERGE_TARGET,N-EVT-B03-C03-S03-003,Jonah and Margot detect a learning shadow before the lexivore emerges,ENT-CHAR-0001;ENT-CHAR-0002;ENT-CREATURE-0002,The shadow moved.,LEXIVORE-ENCOUNTER,Candidate anchors a merged normalized event.
EVT-B03-C03-S03-004,B03-C03-S03,lexivore emerges.,MERGE,N-EVT-B03-C03-S03-003,Jonah and Margot detect a learning shadow before the lexivore emerges,ENT-CHAR-0001;ENT-CHAR-0002;ENT-CREATURE-0002,The shadow moved.,LEXIVORE-ENCOUNTER,Fragment is absorbed into a larger causal event.
EVT-B03-C03-S04-001,B03-C03-S04,Lexivore attacks and frost-burns Jonah,RELABEL,N-EVT-B03-C03-S04-001,The lexivore attacks and frost-burns Jonah,ENT-CREATURE-0002;ENT-CHAR-0001;ENT-CHAR-0002,"It moved wrong—too fast, too fluid, ignoring the physics that governed normal motion. Jonah's instincts had him dodging before his brain caught up, rolling sideways as the thing swept through the space where he'd been standing. Cold raked across his shoulder, burns like frostbite, and he hissed through his teeth.",LEXIVORE-ENCOUNTER,"Material event survives, but label, type, or participants required correction."
EVT-B03-C03-S04-002,B03-C03-S04,Margot uses flashlight and sacrificial books,RELABEL,N-EVT-B03-C03-S04-002,Margot uses light and sacrificial books to distract the lexivore,ENT-CHAR-0002;ENT-CREATURE-0002;ENT-OBJ-0004;ENT-OBJ-0007,"She thrust the flashlight forward, and where the beam touched the shadow, it *recoiled*. The thing shrieked—a sound of stolen voices all screaming at once—and pulled back, reforming itself in the darkness beyond the reach of the single weak beam.",LEXIVORE-ENCOUNTER,"Material event survives, but label, type, or participants required correction."
EVT-B03-C03-S04-003,B03-C03-S04,they run to B2.,RELABEL,N-EVT-B03-C03-S04-003,Jonah and Margot escape B1 and reach the B2 door,ENT-CHAR-0001;ENT-CHAR-0002;ENT-CREATURE-0002;ENT-LOC-0008,They ran.,B2-TRANSITION,"Material event survives, but label, type, or participants required correction."
EVT-B03-C03-S05-001,B03-C03-S05,Margot opens B2,RELABEL,N-EVT-B03-C03-S05-001,Margot opens the B2 door and Jonah follows her into the Architecture Section,ENT-CHAR-0002;ENT-CHAR-0001;ENT-LOC-0008,The door groaned open.,B2-TRANSITION,"Material event survives, but label, type, or participants required correction."
EVT-B03-C03-S05-002,B03-C03-S05,explains Architecture Section,KEEP,N-EVT-B03-C03-S05-002,Margot explains that B2 contains actual impossible spaces,ENT-CHAR-0002;ENT-CHAR-0001;ENT-LOC-0008,"""Level B2,"" Margot said, her voice dropping to barely above a whisper. ""The Architecture Section. The books here don't just contain knowledge about construction and design—they contain actual spaces. Rooms that shouldn't exist. Buildings that were never built.""",B2-TRANSITION,Candidate survives with event-specific review.
EVT-B03-C03-S05-003,B03-C03-S05,they see gravity-defying stairs and an unknown entity.,RELABEL,N-EVT-B03-C03-S05-003,They discover gravity-defying stairs and an unknown entity below,ENT-CHAR-0001;ENT-CHAR-0002;ENT-CHAR-0007,"And beneath it all, far below where any floor should have been, something *looked back*.",B2-TRANSITION,"Material event survives, but label, type, or participants required correction."
,B03-C03-S05,[omitted from pilot extraction],ADD,N-EVT-B03-C03-S05-004,Margot takes Jonah's hand and they explicitly commit to continue together,ENT-CHAR-0002;ENT-CHAR-0001,"""Together,"" she agreed.",MATE-RECOGNITION,Material relationship-state change omitted because it was not listed in scene major_events_candidate.
