membership_id,event_id,child_thread_id,parent_thread_id,membership_strength,assignment_score,assignment_basis,source_scene_id,canonical_status,review_status
ETM-00018,N-EVT-B03-C02-S03-003,PT-C03,PT-P01,primary,4,continuity-group:PURGE-ACTIVATION;label:erasure,B03-C02-S03,candidate,high-confidence
ETM-00019,N-EVT-B03-C02-S04-001,PT-C03,PT-P01,primary,3,continuity-group:PURGE-ACTIVATION,B03-C02-S04,candidate,reviewable
ETM-00020,N-EVT-B03-C02-S04-002,PT-C03,PT-P01,primary,3,continuity-group:PURGE-ACTIVATION,B03-C02-S04,candidate,reviewable
ETM-00021,N-EVT-B03-C02-S04-003,PT-C02,PT-P01,primary,4,continuity-group:RECOVERY-MISSION;label:b4,B03-C02-S04,candidate,high-confidence
ETM-00022,N-EVT-B03-C02-S04-004,PT-C02,PT-P01,primary,5,continuity-group:RECOVERY-MISSION;label:scroll|b4,B03-C02-S04,candidate,high-confidence
ETM-00023,N-EVT-B03-C02-S05-001,PT-C02,PT-P01,primary,3,continuity-group:RECOVERY-MISSION,B03-C02-S05,candidate,reviewable
ETM-00024,N-EVT-B03-C02-S05-002,PT-C02,PT-P01,primary,3,continuity-group:RECOVERY-MISSION,B03-C02-S05,candidate,reviewable
ETM-00025,N-EVT-B03-C02-S05-003,PT-C02,PT-P01,primary,4,continuity-group:DEEP-STACKS-DESCENT;label:deep stacks,B03-C02-S05,candidate,high-confidence
ETM-00026,N-EVT-B03-C02-S05-003,PT-C03,PT-P01,secondary,2,label:deep stacks|b1,B03-C02-S05,candidate,reviewable
ETM-00027,N-EVT-B03-C03-S01-001,PT-C02,PT-P01,primary,3,continuity-group:DEEP-STACKS-DESCENT,B03-C03-S01,candidate,reviewable
ETM-00028,N-EVT-B03-C03-S01-002,PT-C02,PT-P01,primary,3,continuity-group:DEEP-STACKS-DESCENT,B03-C03-S01,candidate,reviewable
ETM-00029,N-EVT-B03-C03-S02-001,PT-C02,PT-P01,primary,3,continuity-group:DEEP-STACKS-DESCENT,B03-C03-S02,candidate,reviewable
ETM-00030,N-EVT-B03-C03-S02-002,PT-C02,PT-P01,primary,3,continuity-group:DEEP-STACKS-DESCENT,B03-C03-S02,candidate,reviewable
ETM-00031,N-EVT-B03-C03-S03-001,PT-C04,PT-P02,primary,4,continuity-group:MATE-RECOGNITION;label:mate,B03-C03-S03,candidate,high-confidence
ETM-00032,N-EVT-B03-C03-S03-002,PT-C04,PT-P02,primary,3,continuity-group:MATE-RECOGNITION,B03-C03-S03,candidate,reviewable
ETM-00033,N-EVT-B03-C03-S04-003,PT-C03,PT-P01,primary,2,label:b1|b2,B03-C03-S04,candidate,reviewable
ETM-00034,N-EVT-B03-C03-S05-004,PT-C04,PT-P02,primary,5,continuity-group:MATE-RECOGNITION;label:together|hand,B03-C03-S05,candidate,high-confidence
ETM-00035,N-EVT-B03-C04-S01-003,PT-C04,PT-P02,primary,4,continuity-group:RELATIONSHIP-ESCALATION;label:hand,B03-C04-S01,candidate,high-confidence
ETM-00036,N-EVT-B03-C04-S02-001,PT-C04,PT-P02,primary,3,continuity-group:RELATIONSHIP-ESCALATION,B03-C04-S02,candidate,reviewable
ETM-00037,N-EVT-B03-C04-S02-002,PT-C04,PT-P02,primary,4,continuity-group:MATE-RECOGNITION;label:mate,B03-C04-S02,candidate,high-confidence
ETM-00038,N-EVT-B03-C04-S02-003,PT-C04,PT-P02,primary,3,continuity-group:RELATIONSHIP-ESCALATION,B03-C04-S02,candidate,reviewable
ETM-00039,N-EVT-B03-C04-S03-001,PT-C04,PT-P02,primary,4,continuity-group:FIRST-INTIMACY;label:sex,B03-C04-S03,candidate,high-confidence
ETM-00040,N-EVT-B03-C04-S03-002,PT-C04,PT-P02,primary,4,continuity-group:FIRST-INTIMACY;label:kiss,B03-C04-S03,candidate,high-confidence
ETM-00041,N-EVT-B03-C04-S03-003,PT-C04,PT-P02,primary,3,continuity-group:FIRST-INTIMACY,B03-C04-S03,candidate,reviewable
ETM-00042,N-EVT-B03-C04-S04-001,PT-C04,PT-P02,primary,3,continuity-group:FIRST-INTIMACY,B03-C04-S04,candidate,reviewable
ETM-00043,N-EVT-B03-C04-S04-002,PT-C02,PT-P01,primary,3,continuity-group:RECOVERY-MISSION,B03-C04-S04,candidate,reviewable
ETM-00044,N-EVT-B03-C04-S05-001,PT-C03,PT-P01,primary,3,continuity-group:B2-TRAVERSAL,B03-C04-S05,candidate,reviewable
ETM-00045,N-EVT-B03-C04-S05-002,PT-C03,PT-P01,primary,3,continuity-group:B2-TRAVERSAL,B03-C04-S05,candidate,reviewable
ETM-00046,N-EVT-B03-C04-S05-003,PT-C03,PT-P01,primary,3,continuity-group:B2-TRAVERSAL,B03-C04-S05,candidate,reviewable
ETM-00047,N-EVT-B03-C04-S05-004,PT-C03,PT-P01,primary,2,label:guardian|b3,B03-C04-S05,candidate,reviewable
ETM-00048,N-EVT-B03-C05-S02-003,PT-C04,PT-P02,primary,4,continuity-group:SECOND-INTIMACY;label:intimacy,B03-C05-S02,candidate,high-confidence
ETM-00049,N-EVT-B03-C05-S02-004,PT-C04,PT-P02,primary,4,continuity-group:SECOND-INTIMACY;label:intimacy,B03-C05-S02,candidate,high-confidence
ETM-00050,N-EVT-B03-C05-S03-001,PT-C04,PT-P02,primary,3,continuity-group:SECOND-INTIMACY,B03-C05-S03,candidate,reviewable
ETM-00051,N-EVT-B03-C05-S03-002,PT-C04,PT-P02,primary,3,continuity-group:SECOND-INTIMACY,B03-C05-S03,candidate,reviewable
ETM-00052,N-EVT-B03-C05-S03-003,PT-C04,PT-P02,primary,4,continuity-group:SECOND-INTIMACY;label:intimacy,B03-C05-S03,candidate,high-confidence
ETM-00053,N-EVT-B03-C05-S04-001,PT-C04,PT-P02,primary,4,continuity-group:SECOND-INTIMACY;label:sex,B03-C05-S04,candidate,high-confidence
ETM-00054,N-EVT-B03-C05-S04-002,PT-C04,PT-P02,primary,3,continuity-group:SECOND-INTIMACY,B03-C05-S04,candidate,reviewable
ETM-00055,N-EVT-B03-C05-S04-003,PT-C04,PT-P02,primary,3,continuity-group:SECOND-INTIMACY,B03-C05-S04,candidate,reviewable
ETM-00056,N-EVT-B03-C05-S05-001,PT-C04,PT-P02,primary,3,continuity-group:RELATIONSHIP-ESCALATION,B03-C05-S05,candidate,reviewable
ETM-00057,N-EVT-B03-C06-S01-001,PT-C03,PT-P01,primary,4,continuity-group:B3-FOREST;label:b3,B03-C06-S01,candidate,high-confidence
ETM-00058,N-EVT-B03-C06-S01-002,PT-C03,PT-P01,primary,3,continuity-group:B3-FOREST,B03-C06-S01,candidate,reviewable
ETM-00059,N-EVT-B03-C06-S01-003,PT-C03,PT-P01,primary,3,continuity-group:B3-FOREST,B03-C06-S01,candidate,reviewable
ETM-00060,N-EVT-B03-C06-S01-004,PT-C03,PT-P01,primary,3,continuity-group:B3-FOREST,B03-C06-S01,candidate,reviewable
ETM-00061,N-EVT-B03-C06-S02-001,PT-C03,PT-P01,primary,3,continuity-group:B3-FOREST,B03-C06-S02,candidate,reviewable
ETM-00062,N-EVT-B03-C06-S02-002,PT-C03,PT-P01,primary,3,continuity-group:B3-FOREST,B03-C06-S02,candidate,reviewable
ETM-00063,N-EVT-B03-C06-S02-003,PT-C03,PT-P01,primary,3,continuity-group:B3-FOREST,B03-C06-S02,candidate,reviewable
ETM-00064,N-EVT-B03-C06-S02-004,PT-C03,PT-P01,primary,3,continuity-group:B3-FOREST,B03-C06-S02,candidate,reviewable
ETM-00065,N-EVT-B03-C06-S03-001,PT-C03,PT-P01,primary,3,continuity-group:VILLANELLE-TRAP,B03-C06-S03,candidate,reviewable
ETM-00066,N-EVT-B03-C06-S03-002,PT-C03,PT-P01,primary,3,continuity-group:VILLANELLE-TRAP,B03-C06-S03,candidate,reviewable
ETM-00067,N-EVT-B03-C06-S03-003,PT-C03,PT-P01,primary,3,continuity-group:VILLANELLE-TRAP,B03-C06-S03,candidate,reviewable
ETM-00068,N-EVT-B03-C06-S03-004,PT-C03,PT-P01,primary,3,continuity-group:VILLANELLE-TRAP,B03-C06-S03,candidate,reviewable
ETM-00069,N-EVT-B03-C06-S03-005,PT-C03,PT-P01,primary,3,continuity-group:VILLANELLE-TRAP,B03-C06-S03,candidate,reviewable
ETM-00070,N-EVT-B03-C06-S04-001,PT-C03,PT-P01,primary,3,continuity-group:VILLANELLE-TRAP,B03-C06-S04,candidate,reviewable
ETM-00071,N-EVT-B03-C06-S04-003,PT-C03,PT-P01,primary,3,continuity-group:VILLANELLE-TRAP,B03-C06-S04,candidate,reviewable
ETM-00072,N-EVT-B03-C06-S04-004,PT-C03,PT-P01,primary,3,continuity-group:B3-FOREST,B03-C06-S04,candidate,reviewable
ETM-00073,N-EVT-B03-C07-S01-001,PT-C03,PT-P01,primary,3,continuity-group:SONNET-GLADE,B03-C07-S01,candidate,reviewable
ETM-00074,N-EVT-B03-C07-S01-002,PT-C03,PT-P01,primary,3,continuity-group:SONNET-GLADE,B03-C07-S01,candidate,reviewable
ETM-00075,N-EVT-B03-C07-S01-003,PT-C03,PT-P01,primary,3,continuity-group:SONNET-GLADE,B03-C07-S01,candidate,reviewable
ETM-00076,N-EVT-B03-C07-S01-004,PT-C03,PT-P01,primary,3,continuity-group:SONNET-GLADE,B03-C07-S01,candidate,reviewable
ETM-00077,N-EVT-B03-C07-S02-001,PT-C03,PT-P01,primary,3,continuity-group:SONNET-GLADE,B03-C07-S02,candidate,reviewable
ETM-00078,N-EVT-B03-C07-S02-002,PT-C03,PT-P01,primary,3,continuity-group:SONNET-GLADE,B03-C07-S02,candidate,reviewable
ETM-00079,N-EVT-B03-C07-S02-003,PT-C03,PT-P01,primary,3,continuity-group:SONNET-GLADE,B03-C07-S02,candidate,reviewable
ETM-00080,N-EVT-B03-C07-S03-001,PT-C03,PT-P01,primary,3,continuity-group:SONNET-GLADE,B03-C07-S03,candidate,reviewable
ETM-00081,N-EVT-B03-C07-S03-002,PT-C03,PT-P01,primary,3,continuity-group:SONNET-GLADE,B03-C07-S03,candidate,reviewable
ETM-00082,N-EVT-B03-C07-S03-003,PT-C03,PT-P01,primary,3,continuity-group:SONNET-GLADE,B03-C07-S03,candidate,reviewable
ETM-00083,N-EVT-B03-C07-S03-004,PT-C03,PT-P01,primary,3,continuity-group:SONNET-GLADE,B03-C07-S03,candidate,reviewable
ETM-00084,N-EVT-B03-C07-S03-005,PT-C03,PT-P01,primary,3,continuity-group:SONNET-GLADE,B03-C07-S03,candidate,reviewable
ETM-00085,N-EVT-B03-C07-S04-001,PT-C03,PT-P01,primary,3,continuity-group:SONNET-GLADE,B03-C07-S04,candidate,reviewable
ETM-00086,N-EVT-B03-C07-S04-002,PT-C04,PT-P02,primary,3,continuity-group:RELATIONSHIP-ESCALATION,B03-C07-S04,candidate,reviewable
ETM-00087,N-EVT-B03-C07-S04-003,PT-C02,PT-P01,primary,5,continuity-group:B4-APPROACH;label:vault|b4,B03-C07-S04,candidate,high-confidence
ETM-00088,N-EVT-B03-C07-S05-001,PT-C02,PT-P01,primary,4,continuity-group:B4-APPROACH;label:vault,B03-C07-S05,candidate,high-confidence
ETM-00089,N-EVT-B03-C07-S05-002,PT-C02,PT-P01,primary,5,continuity-group:B4-APPROACH;label:keeper|vault,B03-C07-S05,candidate,high-confidence
ETM-00090,N-EVT-B03-C07-S05-003,PT-C01,PT-P01,primary,3,continuity-group:SCROLL-TRUTH,B03-C07-S05,candidate,reviewable
ETM-00091,N-EVT-B03-C07-S05-004,PT-C01,PT-P01,primary,3,continuity-group:FOUNDING-TRUTH,B03-C07-S05,candidate,reviewable
ETM-00092,N-EVT-B03-C08-S01-001,PT-C01,PT-P01,primary,5,continuity-group:FOUNDING-TRUTH;label:treaty|forged,B03-C08-S01,candidate,high-confidence
ETM-00093,N-EVT-B03-C08-S01-002,PT-C05,PT-P03,primary,4,continuity-group:KAEL-VAULT-CONFRONTATION;label:kael,B03-C08-S01,candidate,high-confidence
ETM-00094,N-EVT-B03-C08-S01-003,PT-C05,PT-P03,primary,4,continuity-group:PURGE-CAUSE;label:kael,B03-C08-S01,candidate,high-confidence
ETM-00095,N-EVT-B03-C08-S01-004,PT-C05,PT-P03,primary,3,continuity-group:KAEL-VAULT-CONFRONTATION,B03-C08-S01,candidate,reviewable
ETM-00096,N-EVT-B03-C08-S02-001,PT-C05,PT-P03,primary,5,continuity-group:KAEL-VAULT-CONFRONTATION;label:sterling|kael,B03-C08-S02,candidate,high-confidence
ETM-00097,N-EVT-B03-C08-S02-002,PT-C05,PT-P03,primary,3,continuity-group:KAEL-VAULT-CONFRONTATION,B03-C08-S02,candidate,reviewable
ETM-00098,N-EVT-B03-C08-S02-004,PT-C05,PT-P03,primary,4,continuity-group:KAEL-VAULT-CONFRONTATION;label:sterling,B03-C08-S02,candidate,high-confidence
ETM-00099,N-EVT-B03-C08-S02-005,PT-C05,PT-P03,primary,4,continuity-group:KAEL-VAULT-CONFRONTATION;label:kael,B03-C08-S02,candidate,high-confidence
ETM-00100,N-EVT-B03-C08-S03-001,PT-C05,PT-P03,primary,5,continuity-group:KAEL-VAULT-CONFRONTATION;label:kael|smoke,B03-C08-S03,candidate,high-confidence
ETM-00101,N-EVT-B03-C08-S03-003,PT-C04,PT-P02,primary,3,continuity-group:VAULT-INTIMACY,B03-C08-S03,candidate,reviewable
ETM-00102,N-EVT-B03-C08-S04-001,PT-C04,PT-P02,primary,3,continuity-group:VAULT-INTIMACY,B03-C08-S04,candidate,reviewable
ETM-00103,N-EVT-B03-C08-S04-002,PT-C04,PT-P02,primary,4,continuity-group:MATE-RECOGNITION;label:mate,B03-C08-S04,candidate,high-confidence
ETM-00104,N-EVT-B03-C08-S04-003,PT-C04,PT-P02,primary,3,continuity-group:VAULT-INTIMACY,B03-C08-S04,candidate,reviewable
ETM-00105,N-EVT-B03-C08-S04-004,PT-C04,PT-P02,primary,5,continuity-group:VAULT-INTIMACY;label:sex|consent,B03-C08-S04,candidate,high-confidence
ETM-00106,N-EVT-B03-C08-S04-005,PT-C04,PT-P02,primary,4,continuity-group:VAULT-INTIMACY;label:sex,B03-C08-S04,candidate,high-confidence
ETM-00107,N-EVT-B03-C08-S05-001,PT-C04,PT-P02,primary,4,continuity-group:VAULT-INTIMACY;label:sex,B03-C08-S05,candidate,high-confidence
ETM-00108,N-EVT-B03-C08-S05-002,PT-C04,PT-P02,primary,3,continuity-group:VAULT-INTIMACY,B03-C08-S05,candidate,reviewable
ETM-00109,N-EVT-B03-C08-S05-003,PT-C04,PT-P02,primary,3,continuity-group:RELATIONSHIP-ESCALATION,B03-C08-S05,candidate,reviewable
ETM-00110,N-EVT-B03-C08-S05-004,PT-C01,PT-P01,primary,5,continuity-group:TREATY-CUSTODY;label:treaty|original treaty,B03-C08-S05,candidate,high-confidence
ETM-00111,N-EVT-B03-C08-S05-005,PT-C02,PT-P01,primary,4,continuity-group:B4-EXIT;label:b4,B03-C08-S05,candidate,high-confidence
ETM-00112,N-EVT-B03-C08-S05-005,PT-C04,PT-P02,secondary,2,label:together|hand,B03-C08-S05,candidate,reviewable
ETM-00113,N-EVT-B03-C09-S01-003,PT-C05,PT-P03,primary,4,continuity-group:STERLING-STANDOFF;label:sterling,B03-C09-S01,candidate,high-confidence
ETM-00114,N-EVT-B03-C09-S01-004,PT-C01,PT-P01,secondary,2,label:treaty|evidence,B03-C09-S01,candidate,reviewable
ETM-00115,N-EVT-B03-C09-S01-004,PT-C05,PT-P03,primary,4,continuity-group:STERLING-STANDOFF;label:sterling,B03-C09-S01,candidate,high-confidence
ETM-00116,N-EVT-B03-C09-S02-001,PT-C05,PT-P03,primary,5,continuity-group:STERLING-STANDOFF;label:sterling|mercenaries,B03-C09-S02,candidate,high-confidence
ETM-00117,N-EVT-B03-C09-S02-002,PT-C01,PT-P01,primary,5,continuity-group:PUBLIC-EXPOSURE;label:treaty|original treaty,B03-C09-S02,candidate,high-confidence
ETM-00118,N-EVT-B03-C09-S02-002,PT-C07,PT-P04,secondary,3,continuity-group:PUBLIC-EXPOSURE,B03-C09-S02,candidate,reviewable
ETM-00119,N-EVT-B03-C09-S02-003,PT-C05,PT-P03,primary,4,continuity-group:STERLING-STANDOFF;label:kael,B03-C09-S02,candidate,high-confidence
ETM-00120,N-EVT-B03-C09-S02-004,PT-C01,PT-P01,secondary,3,continuity-group:PUBLIC-EXPOSURE,B03-C09-S02,candidate,reviewable
ETM-00121,N-EVT-B03-C09-S02-004,PT-C07,PT-P04,primary,4,continuity-group:PUBLIC-EXPOSURE;label:crowd,B03-C09-S02,candidate,high-confidence
ETM-00122,N-EVT-B03-C09-S03-001,PT-C01,PT-P01,primary,3,continuity-group:PUBLIC-EXPOSURE,B03-C09-S03,candidate,reviewable
ETM-00123,N-EVT-B03-C09-S03-001,PT-C07,PT-P04,primary,3,continuity-group:PUBLIC-EXPOSURE,B03-C09-S03,candidate,reviewable
ETM-00124,N-EVT-B03-C09-S03-002,PT-C01,PT-P01,secondary,3,continuity-group:PUBLIC-EXPOSURE,B03-C09-S03,candidate,reviewable
ETM-00125,N-EVT-B03-C09-S03-002,PT-C07,PT-P04,primary,5,continuity-group:PUBLIC-EXPOSURE;label:crowd|witnesses,B03-C09-S03,candidate,high-confidence
ETM-00126,N-EVT-B03-C09-S03-003,PT-C01,PT-P01,primary,4,continuity-group:PUBLIC-EXPOSURE;label:treaty,B03-C09-S03,candidate,high-confidence
ETM-00127,N-EVT-B03-C09-S03-003,PT-C07,PT-P04,primary,4,continuity-group:PUBLIC-EXPOSURE;label:town,B03-C09-S03,candidate,high-confidence
ETM-00128,N-EVT-B03-C09-S04-001,PT-C01,PT-P01,secondary,3,continuity-group:PUBLIC-EXPOSURE,B03-C09-S04,candidate,reviewable
ETM-00129,N-EVT-B03-C09-S04-001,PT-C07,PT-P04,primary,4,continuity-group:PUBLIC-EXPOSURE;label:witnesses,B03-C09-S04,candidate,high-confidence
ETM-00130,N-EVT-B03-C09-S04-002,PT-C01,PT-P01,secondary,3,continuity-group:PUBLIC-EXPOSURE,B03-C09-S04,candidate,reviewable
ETM-00131,N-EVT-B03-C09-S04-002,PT-C07,PT-P04,primary,4,continuity-group:PUBLIC-EXPOSURE;label:crowd,B03-C09-S04,candidate,high-confidence
ETM-00132,N-EVT-B03-C09-S04-003,PT-C01,PT-P01,primary,6,continuity-group:FOUNDING-TRUTH;label:treaty|founding|original treaty|publicly explains,B03-C09-S04,candidate,high-confidence
ETM-00133,N-EVT-B03-C09-S04-004,PT-C01,PT-P01,primary,3,continuity-group:PUBLIC-EXPOSURE,B03-C09-S04,candidate,reviewable
ETM-00134,N-EVT-B03-C09-S04-004,PT-C07,PT-P04,primary,3,continuity-group:PUBLIC-EXPOSURE,B03-C09-S04,candidate,reviewable
ETM-00135,N-EVT-B03-C09-S04-005,PT-C01,PT-P01,primary,4,continuity-group:PUBLIC-EXPOSURE;label:treaty,B03-C09-S04,candidate,high-confidence
ETM-00136,N-EVT-B03-C09-S04-005,PT-C07,PT-P04,primary,4,continuity-group:PUBLIC-EXPOSURE;label:public,B03-C09-S04,candidate,high-confidence
ETM-00137,N-EVT-B03-C09-S04-006,PT-C01,PT-P01,secondary,3,continuity-group:PUBLIC-EXPOSURE,B03-C09-S04,candidate,reviewable
ETM-00138,N-EVT-B03-C09-S04-006,PT-C07,PT-P04,primary,4,continuity-group:PUBLIC-EXPOSURE;label:crowd,B03-C09-S04,candidate,high-confidence
ETM-00139,N-EVT-B03-C09-S05-001,PT-C01,PT-P01,secondary,3,continuity-group:PUBLIC-EXPOSURE,B03-C09-S05,candidate,reviewable
ETM-00140,N-EVT-B03-C09-S05-001,PT-C07,PT-P04,primary,4,continuity-group:PUBLIC-EXPOSURE;label:crowd,B03-C09-S05,candidate,high-confidence
ETM-00141,N-EVT-B03-C09-S05-002,PT-C05,PT-P03,primary,4,continuity-group:ANTAGONIST-ESCAPE;label:sterling,B03-C09-S05,candidate,high-confidence
ETM-00142,N-EVT-B03-C09-S05-003,PT-C05,PT-P03,primary,6,continuity-group:ANTAGONIST-ESCAPE;label:sterling|kael|mercenaries|smoke,B03-C09-S05,candidate,high-confidence
ETM-00143,N-EVT-B03-C09-S06-001,PT-C01,PT-P01,primary,4,continuity-group:EVIDENCE-DISTRIBUTION;label:treaty,B03-C09-S06,candidate,high-confidence
ETM-00144,N-EVT-B03-C09-S06-002,PT-C01,PT-P01,primary,3,continuity-group:PUBLIC-EXPOSURE,B03-C09-S06,candidate,reviewable
ETM-00145,N-EVT-B03-C09-S06-002,PT-C07,PT-P04,primary,3,continuity-group:PUBLIC-EXPOSURE,B03-C09-S06,candidate,reviewable
ETM-00146,N-EVT-B03-C09-S06-003,PT-C03,PT-P01,primary,3,continuity-group:LIBRARY-LOSS,B03-C09-S06,candidate,reviewable
ETM-00147,N-EVT-B03-C09-S06-005,PT-C04,PT-P02,primary,4,continuity-group:RELATIONSHIP-ESCALATION;label:love,B03-C09-S06,candidate,high-confidence
ETM-00148,N-EVT-B03-C10-S02-002,PT-C04,PT-P02,primary,3,continuity-group:RELATIONSHIP-ESCALATION,B03-C10-S02,candidate,reviewable
ETM-00149,N-EVT-B03-C10-S02-004,PT-C04,PT-P02,primary,4,continuity-group:RELATIONSHIP-COMMITMENT;label:together,B03-C10-S02,candidate,high-confidence
ETM-00150,N-EVT-B03-C10-S02-005,PT-C04,PT-P02,primary,3,continuity-group:RELATIONSHIP-COMMITMENT,B03-C10-S02,candidate,reviewable
ETM-00151,N-EVT-B03-C10-S03-004,PT-C04,PT-P02,primary,3,continuity-group:RELATIONSHIP-ESCALATION,B03-C10-S03,candidate,reviewable
ETM-00152,N-EVT-B03-C10-S03-005,PT-C04,PT-P02,primary,3,continuity-group:RELATIONSHIP-ESCALATION,B03-C10-S03,candidate,reviewable
ETM-00153,N-EVT-B03-C10-S04-001,PT-C04,PT-P02,primary,4,continuity-group:CABIN-INTIMACY;label:intimacy,B03-C10-S04,candidate,high-confidence
ETM-00154,N-EVT-B03-C10-S04-002,PT-C04,PT-P02,primary,4,continuity-group:MATE-BOND;label:bond,B03-C10-S04,candidate,high-confidence
ETM-00155,N-EVT-B03-C10-S04-003,PT-C04,PT-P02,primary,4,continuity-group:RELATIONSHIP-COMMITMENT;label:bond,B03-C10-S04,candidate,high-confidence
ETM-00156,N-EVT-B03-C10-S04-004,PT-C04,PT-P02,primary,4,continuity-group:CABIN-INTIMACY;label:consent,B03-C10-S04,candidate,high-confidence
ETM-00157,N-EVT-B03-C10-S04-005,PT-C04,PT-P02,primary,4,continuity-group:CABIN-INTIMACY;label:intimacy,B03-C10-S04,candidate,high-confidence
ETM-00158,N-EVT-B03-C10-S05-001,PT-C04,PT-P02,primary,4,continuity-group:CABIN-INTIMACY;label:intimacy,B03-C10-S05,candidate,high-confidence
ETM-00159,N-EVT-B03-C10-S05-002,PT-C06,PT-P03,primary,5,continuity-group:MAGISTERIUM-ULTIMATUM;label:magisterium|federal,B03-C10-S05,candidate,high-confidence
ETM-00160,N-EVT-B03-C10-S05-003,PT-C06,PT-P03,primary,5,continuity-group:MAGISTERIUM-ULTIMATUM;label:magisterium|quarantine,B03-C10-S05,candidate,high-confidence
ETM-00161,N-EVT-B03-C10-S05-004,PT-C06,PT-P03,primary,5,continuity-group:CABIN-SIEGE;label:magisterium|containment team,B03-C10-S05,candidate,high-confidence
ETM-00162,N-EVT-B03-C11-S01-001,PT-C06,PT-P03,primary,3,continuity-group:CABIN-SIEGE,B03-C11-S01,candidate,reviewable
ETM-00163,N-EVT-B03-C11-S01-002,PT-C01,PT-P01,primary,5,continuity-group:TREATY-EVIDENCE;label:treaty|ledger of disappearances,B03-C11-S01,candidate,high-confidence
ETM-00164,N-EVT-B03-C11-S01-003,PT-C01,PT-P01,primary,4,continuity-group:EVIDENCE-DISTRIBUTION;label:treaty,B03-C11-S01,candidate,high-confidence
ETM-00165,N-EVT-B03-C11-S01-004,PT-C06,PT-P03,primary,3,continuity-group:CABIN-SIEGE,B03-C11-S01,candidate,reviewable
ETM-00166,N-EVT-B03-C11-S01-005,PT-C06,PT-P03,primary,4,continuity-group:CABIN-SIEGE;label:tactical team,B03-C11-S01,candidate,high-confidence
ETM-00167,N-EVT-B03-C11-S02-001,PT-C06,PT-P03,primary,5,continuity-group:CABIN-SIEGE;label:federal|tactical team,B03-C11-S02,candidate,high-confidence
ETM-00168,N-EVT-B03-C11-S02-002,PT-C06,PT-P03,primary,3,continuity-group:CABIN-SIEGE,B03-C11-S02,candidate,reviewable
ETM-00169,N-EVT-B03-C11-S02-003,PT-C06,PT-P03,primary,3,continuity-group:CABIN-SIEGE,B03-C11-S02,candidate,reviewable
ETM-00170,N-EVT-B03-C11-S02-004,PT-C06,PT-P03,primary,3,continuity-group:CABIN-SIEGE,B03-C11-S02,candidate,reviewable
