event_id,book_id,event_label,event_type,start_scene_id,end_scene_id,participant_entity_ids,location_text,event_summary,triggering_action,changed_state,proposition_ids,assertion_ids,evidence_scene_ids,evidence_text,confidence,review_status,derived_from_field,notes
EVT-B03-C01-S04-001,B03,Jonah descends,resolution,B03-C01-S04,B03-C01-S04,ENT-CHAR-0001;ENT-CHAR-0002,Library main floor and basement,Jonah descends,,Margot orders Jonah to close the basement door.,P-B03-000004;P-B03-000005,A-B03-000004;A-B03-000005,B03-C01-S04,Jonah descends,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C01-S04-002,B03,discovers expanded magical basement,revelation,B03-C01-S04,B03-C01-S04,ENT-CHAR-0001;ENT-CHAR-0002;ENT-LOC-0004,Library main floor and basement,discovers expanded magical basement,,Margot orders Jonah to close the basement door.,P-B03-000004;P-B03-000005,A-B03-000004;A-B03-000005,B03-C01-S04,discovers expanded magical basement,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C01-S04-003,B03,sees flying books and Margot containing them.,other,B03-C01-S04,B03-C01-S04,ENT-CHAR-0001;ENT-CHAR-0002,Library main floor and basement,sees flying books and Margot containing them.,,Margot orders Jonah to close the basement door.,P-B03-000004;P-B03-000005,A-B03-000004;A-B03-000005,B03-C01-S04,sees flying books and Margot containing them.,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C01-S05-001,B03,Closing the door drops the books,other,B03-C01-S05,B03-C01-S05,ENT-CHAR-0001;ENT-CHAR-0002,Library basement,Closing the door drops the books,,Jonah and Margot are trapped; Margot confirms a serious problem.,P-B03-000006,A-B03-000006,B03-C01-S05,Closing the door drops the books,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C01-S05-002,B03,Margot identifies the library's age and hidden history,other,B03-C01-S05,B03-C01-S05,ENT-CHAR-0001;ENT-CHAR-0002;ENT-LOC-0003,Library basement,Margot identifies the library's age and hidden history,,Jonah and Margot are trapped; Margot confirms a serious problem.,P-B03-000006,A-B03-000006,B03-C01-S05,Margot identifies the library's age and hidden history,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C01-S05-003,B03,the building seals.,other,B03-C01-S05,B03-C01-S05,ENT-CHAR-0001;ENT-CHAR-0002,Library basement,the building seals.,,Jonah and Margot are trapped; Margot confirms a serious problem.,P-B03-000006,A-B03-000006,B03-C01-S05,the building seals.,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C02-S01-001,B03,Margot gathers books,other,B03-C02-S01,B03-C02-S01,ENT-CHAR-0001;ENT-CHAR-0002,Library basement,Margot gathers books,,Jonah receives the first partial explanation.,P-B03-000011;P-B03-000012,A-B03-000018;A-B03-000019,B03-C02-S01,Margot gathers books,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C02-S01-002,B03,explains the library predates the town and contains remembering books and protective wards.,other,B03-C02-S01,B03-C02-S01,ENT-CHAR-0001;ENT-CHAR-0002;ENT-LOC-0003;ENT-GROUP-0010,Library basement,explains the library predates the town and contains remembering books and protective wards.,,Jonah receives the first partial explanation.,P-B03-000011;P-B03-000012,A-B03-000018;A-B03-000019,B03-C02-S01,explains the library predates the town and contains remembering books and protective wards.,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C02-S02-001,B03,Margot finds a three-scroll gap,other,B03-C02-S02,B03-C02-S02,ENT-CHAR-0001;ENT-CHAR-0002,"Library basement, Preservation Section",Margot finds a three-scroll gap,,She tells Jonah the Scrolls are gone and accepts that she must explain them.,P-B03-000007;P-B03-000018,A-B03-000007;A-B03-000008;A-B03-000009;A-B03-000010;A-B03-000020,B03-C02-S02,Margot finds a three-scroll gap,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C02-S02-002,B03,identifies the missing Founding Scrolls,other,B03-C02-S02,B03-C02-S02,ENT-OBJ-0001;ENT-CHAR-0001;ENT-CHAR-0002,"Library basement, Preservation Section",identifies the missing Founding Scrolls,,She tells Jonah the Scrolls are gone and accepts that she must explain them.,P-B03-000007;P-B03-000018,A-B03-000007;A-B03-000008;A-B03-000009;A-B03-000010;A-B03-000020,B03-C02-S02,identifies the missing Founding Scrolls,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C02-S02-003,B03,Jonah steadies her physically.,other,B03-C02-S02,B03-C02-S02,ENT-CHAR-0001;ENT-CHAR-0002,"Library basement, Preservation Section",Jonah steadies her physically.,,She tells Jonah the Scrolls are gone and accepts that she must explain them.,P-B03-000007;P-B03-000018,A-B03-000007;A-B03-000008;A-B03-000009;A-B03-000010;A-B03-000020,B03-C02-S02,Jonah steadies her physically.,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C02-S03-001,B03,Margot explains the Scrolls concern the town's founding and monsters,other,B03-C02-S03,B03-C02-S03,ENT-CHAR-0001;ENT-CHAR-0002;ENT-OBJ-0001;ENT-GROUP-0010,Library basement to main floor,Margot explains the Scrolls concern the town's founding and monsters,,They learn they have twelve hours before the library erases itself and everyone inside.,P-B03-000008;P-B03-000009,A-B03-000011;A-B03-000012;A-B03-000013;A-B03-000014;A-B03-000015,B03-C02-S03,Margot explains the Scrolls concern the town's founding and monsters,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C02-S03-002,B03,doors seal,other,B03-C02-S03,B03-C02-S03,ENT-CHAR-0001;ENT-CHAR-0002,Library basement to main floor,doors seal,,They learn they have twelve hours before the library erases itself and everyone inside.,P-B03-000008;P-B03-000009,A-B03-000011;A-B03-000012;A-B03-000013;A-B03-000014;A-B03-000015,B03-C02-S03,doors seal,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C02-S03-003,B03,she reveals the purge deadline.,revelation,B03-C02-S03,B03-C02-S03,ENT-CHAR-0001;ENT-CHAR-0002,Library basement to main floor,she reveals the purge deadline.,,They learn they have twelve hours before the library erases itself and everyone inside.,P-B03-000008;P-B03-000009,A-B03-000011;A-B03-000012;A-B03-000013;A-B03-000014;A-B03-000015,B03-C02-S03,she reveals the purge deadline.,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C02-S04-001,B03,Jonah tests exits,other,B03-C02-S04,B03-C02-S04,ENT-CHAR-0006;ENT-CHAR-0001;ENT-CHAR-0002,Library main floor,Jonah tests exits,,Margot commits to recovering the Scrolls and names Jonah as backup.,P-B03-000010,A-B03-000016;A-B03-000017,B03-C02-S04,Jonah tests exits,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C02-S04-002,B03,Meredith appears,other,B03-C02-S04,B03-C02-S04,ENT-CHAR-0006;ENT-CHAR-0001;ENT-CHAR-0002,Library main floor,Meredith appears,,Margot commits to recovering the Scrolls and names Jonah as backup.,P-B03-000010,A-B03-000016;A-B03-000017,B03-C02-S04,Meredith appears,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C02-S04-003,B03,protocol terms are explained,other,B03-C02-S04,B03-C02-S04,ENT-CHAR-0006;ENT-CHAR-0001;ENT-CHAR-0002,Library main floor,protocol terms are explained,,Margot commits to recovering the Scrolls and names Jonah as backup.,P-B03-000010,A-B03-000016;A-B03-000017,B03-C02-S04,protocol terms are explained,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C02-S04-004,B03,Margot chooses the recovery route.,decision,B03-C02-S04,B03-C02-S04,ENT-CHAR-0006;ENT-CHAR-0001;ENT-CHAR-0002,Library main floor,Margot chooses the recovery route.,,Margot commits to recovering the Scrolls and names Jonah as backup.,P-B03-000010,A-B03-000016;A-B03-000017,B03-C02-S04,Margot chooses the recovery route.,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C02-S05-001,B03,Margot explains four lower levels,other,B03-C02-S05,B03-C02-S05,ENT-CHAR-0001;ENT-CHAR-0002,"Library main floor, basement, entrance to Level B1",Margot explains four lower levels,,Margot and Jonah enter the Deep Stacks together.,,,B03-C02-S05,Margot explains four lower levels,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C02-S05-002,B03,retrieves flashlight and key,other,B03-C02-S05,B03-C02-S05,ENT-CHAR-0001;ENT-CHAR-0002;ENT-OBJ-0004;ENT-OBJ-0003,"Library main floor, basement, entrance to Level B1",retrieves flashlight and key,,Margot and Jonah enter the Deep Stacks together.,,,B03-C02-S05,retrieves flashlight and key,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C02-S05-003,B03,opens B1 entrance.,other,B03-C02-S05,B03-C02-S05,ENT-CHAR-0001;ENT-CHAR-0002;ENT-LOC-0007,"Library main floor, basement, entrance to Level B1",opens B1 entrance.,,Margot and Jonah enter the Deep Stacks together.,,,B03-C02-S05,opens B1 entrance.,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C03-S01-001,B03,Door closes behind them,resolution,B03-C03-S01,B03-C03-S01,ENT-CHAR-0001;ENT-CHAR-0002,"Level B1, Extended Stacks",Door closes behind them,,They proceed into the eastern section despite unreliable geography.,P-B03-000014,A-B03-000022,B03-C03-S01,Door closes behind them,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C03-S01-002,B03,they hear whispering,other,B03-C03-S01,B03-C03-S01,ENT-CHAR-0001;ENT-CHAR-0002,"Level B1, Extended Stacks",they hear whispering,,They proceed into the eastern section despite unreliable geography.,P-B03-000014,A-B03-000022,B03-C03-S01,they hear whispering,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C03-S01-003,B03,Margot explains B1 and its temperamental books.,other,B03-C03-S01,B03-C03-S01,ENT-CHAR-0001;ENT-CHAR-0002;ENT-LOC-0007,"Level B1, Extended Stacks",Margot explains B1 and its temperamental books.,,They proceed into the eastern section despite unreliable geography.,P-B03-000014,A-B03-000022,B03-C03-S01,Margot explains B1 and its temperamental books.,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C03-S02-001,B03,Books whisper,other,B03-C03-S02,B03-C03-S02,ENT-CHAR-0001;ENT-CHAR-0002;ENT-CREATURE-0001,Level B1 corridor,Books whisper,,"They continue, uncertain whether they are moving toward the stairs.",P-B03-000013,A-B03-000021,B03-C03-S02,Books whisper,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C03-S02-002,B03,one launches at Margot,other,B03-C03-S02,B03-C03-S02,ENT-CHAR-0001;ENT-CHAR-0002;ENT-CREATURE-0001,Level B1 corridor,one launches at Margot,,"They continue, uncertain whether they are moving toward the stairs.",P-B03-000013,A-B03-000021,B03-C03-S02,one launches at Margot,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C03-S02-003,B03,Jonah catches it,other,B03-C03-S02,B03-C03-S02,ENT-CHAR-0001;ENT-CHAR-0002;ENT-CREATURE-0001,Level B1 corridor,Jonah catches it,,"They continue, uncertain whether they are moving toward the stairs.",P-B03-000013,A-B03-000021,B03-C03-S02,Jonah catches it,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C03-S02-004,B03,a bibliovore claims it,other,B03-C03-S02,B03-C03-S02,ENT-CHAR-0001;ENT-CHAR-0002;ENT-CREATURE-0001,Level B1 corridor,a bibliovore claims it,,"They continue, uncertain whether they are moving toward the stairs.",P-B03-000013,A-B03-000021,B03-C03-S02,a bibliovore claims it,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C03-S02-005,B03,geography twists.,other,B03-C03-S02,B03-C03-S02,ENT-CHAR-0001;ENT-CHAR-0002;ENT-CREATURE-0001,Level B1 corridor,geography twists.,,"They continue, uncertain whether they are moving toward the stairs.",P-B03-000013,A-B03-000021,B03-C03-S02,geography twists.,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C03-S03-001,B03,Jonah's wolf identifies Margot as mate again,other,B03-C03-S03,B03-C03-S03,ENT-CHAR-0001;ENT-CHAR-0002;ENT-STATE-0002;ENT-CREATURE-0002,Level B1 branching corridor,Jonah's wolf identifies Margot as mate again,,Jonah places himself between Margot and the creature.,,,B03-C03-S03,Jonah's wolf identifies Margot as mate again,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C03-S03-002,B03,Margot catches him staring,other,B03-C03-S03,B03-C03-S03,ENT-CHAR-0001;ENT-CHAR-0002;ENT-CREATURE-0002,Level B1 branching corridor,Margot catches him staring,,Jonah places himself between Margot and the creature.,,,B03-C03-S03,Margot catches him staring,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C03-S03-003,B03,they detect a learning shadow,other,B03-C03-S03,B03-C03-S03,ENT-CHAR-0001;ENT-CHAR-0002;ENT-CREATURE-0002,Level B1 branching corridor,they detect a learning shadow,,Jonah places himself between Margot and the creature.,,,B03-C03-S03,they detect a learning shadow,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C03-S03-004,B03,lexivore emerges.,other,B03-C03-S03,B03-C03-S03,ENT-CHAR-0001;ENT-CHAR-0002;ENT-CREATURE-0002,Level B1 branching corridor,lexivore emerges.,,Jonah places himself between Margot and the creature.,,,B03-C03-S03,lexivore emerges.,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C03-S04-001,B03,Lexivore attacks and frost-burns Jonah,action,B03-C03-S04,B03-C03-S04,ENT-CHAR-0001;ENT-CHAR-0002;ENT-CREATURE-0002,Level B1 corridor and stairs to B2,Lexivore attacks and frost-burns Jonah,,They escape to the B2 door; the lexivore cannot cross levels.,P-B03-000017,A-B03-000023,B03-C03-S04,Lexivore attacks and frost-burns Jonah,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C03-S04-002,B03,Margot uses flashlight and sacrificial books,other,B03-C03-S04,B03-C03-S04,ENT-OBJ-0007;ENT-CHAR-0001;ENT-CHAR-0002;ENT-OBJ-0004;ENT-CREATURE-0002,Level B1 corridor and stairs to B2,Margot uses flashlight and sacrificial books,,They escape to the B2 door; the lexivore cannot cross levels.,P-B03-000017,A-B03-000023,B03-C03-S04,Margot uses flashlight and sacrificial books,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C03-S04-003,B03,they run to B2.,other,B03-C03-S04,B03-C03-S04,ENT-CHAR-0001;ENT-CHAR-0002;ENT-CREATURE-0002;ENT-LOC-0008,Level B1 corridor and stairs to B2,they run to B2.,,They escape to the B2 door; the lexivore cannot cross levels.,P-B03-000017,A-B03-000023,B03-C03-S04,they run to B2.,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C03-S05-001,B03,Margot opens B2,other,B03-C03-S05,B03-C03-S05,ENT-CHAR-0001;ENT-CHAR-0002;ENT-LOC-0008,B2 doorway and Architecture Section,Margot opens B2,,They enter B2 and begin navigating impossible stairs.,P-B03-000016,A-B03-000025,B03-C03-S05,Margot opens B2,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C03-S05-002,B03,explains Architecture Section,other,B03-C03-S05,B03-C03-S05,ENT-LOC-0008;ENT-CHAR-0001;ENT-CHAR-0002,B2 doorway and Architecture Section,explains Architecture Section,,They enter B2 and begin navigating impossible stairs.,P-B03-000016,A-B03-000025,B03-C03-S05,explains Architecture Section,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
EVT-B03-C03-S05-003,B03,they see gravity-defying stairs and an unknown entity.,other,B03-C03-S05,B03-C03-S05,ENT-CHAR-0001;ENT-CHAR-0002,B2 doorway and Architecture Section,they see gravity-defying stairs and an unknown entity.,,They enter B2 and begin navigating impossible stairs.,P-B03-000016,A-B03-000025,B03-C03-S05,they see gravity-defying stairs and an unknown entity.,moderate,candidate,major_events_candidate,Pilot candidate derived from human-validated scene ledger; requires event-boundary and participant review.
