target_section,target_row_id,source_file,source_record_id,migration_rule,provisional,review_status,notes
Entities,deep-stacks,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-LOC-0006,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,underground unstable archive levels
Entities,level-b1,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-LOC-0007,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,first lower level
Entities,level-b2,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-LOC-0008,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,second lower level
Entities,level-b4,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-LOC-0009,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,target level for recovery
Entities,central-spire,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-LOC-0010,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,B2 axis and gate to B3.
Entities,resting-point-study,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-LOC-0011,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,Safe transitional airlock between B2 and B3.
Entities,level-b3,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-LOC-0012,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,Emotion- and memory-reactive archive level.
Entities,sonnet-glade,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-LOC-0013,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,Idealized romance-trope environment.
Entities,b4-vault,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-LOC-0014,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,Obsidian fortress containing original records.
Entities,jonah-s-ridge-cabin,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-LOC-0015,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,Defensible private refuge.
Entities,founding-scrolls,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-OBJ-0001,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,central missing archival documents
Entities,margot-s-grandmother-s-journal,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-OBJ-0002,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,concealed inherited knowledge source
Entities,deep-stacks-key,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-OBJ-0003,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,access object
Entities,flashlight,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-OBJ-0004,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,survival tool
Entities,biting-animated-book,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-OBJ-0005,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,magically active book
Entities,flying-book-claimed-by-bibliovore,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-OBJ-0006,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,short-lived active book
Entities,sacrificial-books,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-OBJ-0007,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,consumed distractions
Entities,paper-jonah-effigy,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-OBJ-0008,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,Paper construct used by the Sonnet Glade.
Entities,paper-margot-effigy,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-OBJ-0009,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,Paper construct destroyed by Margot.
Entities,original-integration-treaty,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-OBJ-0010,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,Founding document proving coercive integration.
Entities,margot-s-glasses,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-OBJ-0011,Entity type mapped to Story Graph core type.,yes,source-reconciled-v1.1,Personal glasses; cracked or displaced during danger sequence; exact damage timing remains under review.
Entities,snub-nosed-38-revolver,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-OBJ-0012,Entity type mapped to Story Graph core type.,yes,source-reconciled-v1.1,Temporary firearm issued to Margot during the cabin siege.
Entities,mossberg-shotgun,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-OBJ-0013,Entity type mapped to Story Graph core type.,yes,source-reconciled-v1.1,Combat and survival weapon used by Jonah and later Margot.
Entities,treaty-evidence-copies,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-OBJ-0014,Entity type mapped to Story Graph core type.,yes,source-reconciled-v1.1,Distributed copies of the original Integration Treaty.
Entities,compromised-tracking-source,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-OBJ-0015,Entity type mapped to Story Graph core type.,yes,source-reconciled-v1.1,Provisional object/mechanism representing the source of the safehouse compromise; exact form requires adjudication.
Entities,detainee-files-and-transfer-records,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-OBJ-0016,Entity type mapped to Story Graph core type.,yes,source-reconciled-v1.1,Institutional evidence seized during the detainee rescue.
Entities,rescued-witness-testimony,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-OBJ-0017,Entity type mapped to Story Graph core type.,yes,source-reconciled-v1.1,Recorded eyewitness evidence from rescued detainees.
Entities,sterling-s-master-archive-records,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-OBJ-0018,Entity type mapped to Story Graph core type.,yes,source-reconciled-v1.1,Records partially seized during the archive breach.
Entities,dragon-killer-ballista,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-OBJ-0019,Entity type mapped to Story Graph core type.,yes,source-reconciled-v1.1,Ancient gravity-rune siege weapon deployed from the Archives.
Entities,combat-grimoires,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-OBJ-0020,Entity type mapped to Story Graph core type.,yes,source-reconciled-v1.1,Magical combat books distributed to resistance casters.
Entities,keeper-s-label-gun,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-OBJ-0021,Entity type mapped to Story Graph core type.,yes,source-reconciled-v1.1,Magical cataloging weapon loaded with VOID tags.
Entities,checkout-stamp,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-OBJ-0022,Entity type mapped to Story Graph core type.,yes,source-reconciled-v1.1,Magical verification and routing tool transferred to Margot.
Entities,logging-station-am-transmitter,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-OBJ-0023,Entity type mapped to Story Graph core type.,yes,source-reconciled-v1.1,Temporary communications asset used for the resistance broadcast and then destroyed.
Entities,dragon-s-blood-antiviral-cure,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-OBJ-0024,Entity type mapped to Story Graph core type.,yes,source-reconciled-v1.1,Experimental countermeasure to the techno-arcane Feral virus.
Entities,iron-horse-schematic,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-OBJ-0025,Entity type mapped to Story Graph core type.,yes,source-reconciled-v1.1,Mission-planning document used to board the Iron Horse.
Entities,iron-horse-emitter,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-OBJ-0026,Entity type mapped to Story Graph core type.,yes,source-reconciled-v1.1,Active Feral Signal source destroyed by Margot.
Entities,the-ego-of-inquisitors-a-tragedy,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-OBJ-0027,Entity type mapped to Story Graph core type.,yes,source-reconciled-v1.1,Book-form containment artifact holding Valerius in the B4 Restricted Section.
Entities,jackson-harrow-s-old-sheriff-badge,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-OBJ-0028,Entity type mapped to Story Graph core type.,yes,source-reconciled-v1.1,Heirloom badge transferred by Jackson to Jonah.
Entities,jonah-s-lexivore-injury,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-STATE-0001,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,persistent physical consequence
Entities,purge-protocol,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-SYS-0001,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,library self-erasure protocol
Entities,founding-scrolls-mystery,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-THREAD-0001,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,central suspense thread
Entities,mate-bond-romance,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-THREAD-0002,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,central romantic thread
Entities,keeper-legacy,BOOK-3-ENTITY-REGISTRY-MASTER-RECONCILED-v1.1.csv,ENT-THREAD-0003,Entity type mapped to Story Graph core type.,yes,human-curated-v0.1,Margot family-history thread
