assertion_id,proposition_id,reader_context,reveal_scene,viewpoint_context,notes
A-B03-000102,P-B03-000093,explicit,B03-C22-S05,Margot Vance,
A-B03-000103,P-B03-000094,explicit,B03-C23-S02,Margot Vance,
A-B03-000104,P-B03-000095,explicit,B03-C23-S05,Margot Vance,
A-B03-000105,P-B03-000096,explicit,B03-C23-S06,Margot Vance,
A-B03-000106,P-B03-000097,explicit,B03-C24-S03,Jonah Harrow,
A-B03-000107,P-B03-000098,explicit,B03-C24-S04,Jonah Harrow,
A-B03-000108,P-B03-000099,explicit,B03-C24-S05,Jonah Harrow,
A-B03-000109,P-B03-000100,explicit,B03-C24-S06,Jonah Harrow,
A-B03-000110,P-B03-000101,explicit,B03-C25-S03,Margot Vance,
A-B03-000111,P-B03-000102,explicit,B03-C25-S06,Margot Vance,
A-B03-000112,P-B03-000103,explicit,B03-C26-S03,Jonah Harrow,
A-B03-000113,P-B03-000104,explicit,B03-C26-S04,Jonah Harrow,
A-B03-000114,P-B03-000105,explicit,B03-C26-S05,Jonah Harrow,
A-B03-000115,P-B03-000106,explicit,B03-C26-S06,Jonah Harrow,
A-B03-000116,P-B03-000107,explicit,B03-C27-S03,Margot Vance,
A-B03-000117,P-B03-000108,explicit,B03-C27-S04,Margot Vance,
A-B03-000118,P-B03-000109,explicit,B03-C27-S05,Shared POV,
A-B03-000119,P-B03-000110,explicit,B03-C28-S03,Margot Vance,
A-B03-000120,P-B03-000111,explicit,B03-C28-S03,Margot Vance,
A-B03-000121,P-B03-000112,explicit,B03-C28-S04,Shared POV,
A-B03-000122,P-B03-000113,explicit,B03-C28-S05,Shared POV,
A-B03-000123,P-B03-000114,explicit,B03-C28-S06,Shared POV,
A-B03-000124,P-B03-000115,explicit,B03-C29-S02,Margot Vance,
A-B03-000125,P-B03-000116,explicit,B03-C29-S03,Margot Vance,
A-B03-000126,P-B03-000117,explicit,B03-C29-S05,Margot Vance,
A-B03-000127,P-B03-000118,explicit,B03-C30-S02,Margot Vance,
A-B03-000128,P-B03-000119,explicit,B03-C30-S03,Shared POV,
A-B03-000129,P-B03-000120,explicit,B03-C30-S04,Jonah Harrow,
A-B03-000130,P-B03-000121,explicit,B03-C30-S05,Shared POV,
A-B03-000131,P-B03-000122,explicit,B03-C30-S06,Shared POV,
