issue_id,category,severity,status,primary_scene,secondary_scene,subject,description,evidence,recommended_action
TL-0001,timeline,major-risk,needs-manuscript-time-audit,B03-C02-S03,B03-C18-S03,Purge Protocol deadline,not enough explicit elapsed-time data,The graph tracks the deadline as active but does not consistently encode elapsed hours across all scenes.,Add explicit elapsed-time markers and verify feasibility against manuscript.
TL-0002,timeline,moderate-risk,needs-manuscript-time-audit,B03-C27-S05,B03-C28-S05,Iron Horse dam countdown,sequence internally ordered; exact minute-by-minute validation not encoded,"Scenes progress logically, but the graph lacks timestamp granularity needed to prove ten-minute feasibility.",Add explicit elapsed-time markers and verify feasibility against manuscript.
PR-0001,promise continuity,review,possibly-open,B03-C04-S01 through B03-C06-S04,B03-C08-S01,PR-B03-0007,Promise lifecycle lacks an explicit full payoff or series deferral.,No explicit full fulfillment or series deferral recorded in lifecycle events.,"Review ending state and mark fulfilled, abandoned, superseded, or deferred."
PR-0002,promise continuity,review,possibly-open,B03-C05-S01; B03-C05-S05,B03-C05-S01; B03-C05-S05,PR-B03-0008,Promise lifecycle lacks an explicit full payoff or series deferral.,No explicit full fulfillment or series deferral recorded in lifecycle events.,"Review ending state and mark fulfilled, abandoned, superseded, or deferred."
PR-0003,promise continuity,review,possibly-open,B03-C06-S03,B03-C06-S03,PR-B03-0014,Promise lifecycle lacks an explicit full payoff or series deferral.,No explicit full fulfillment or series deferral recorded in lifecycle events.,"Review ending state and mark fulfilled, abandoned, superseded, or deferred."
PR-0004,promise continuity,review,possibly-open,B03-C09-S05,B03-C14-S01; B03-C14-S04,PR-B03-0016,Promise lifecycle lacks an explicit full payoff or series deferral.,No explicit full fulfillment or series deferral recorded in lifecycle events.,"Review ending state and mark fulfilled, abandoned, superseded, or deferred."
PR-0005,promise continuity,review,possibly-open,B03-C12-S03,B03-C12-S03,PR-B03-0018,Promise lifecycle lacks an explicit full payoff or series deferral.,No explicit full fulfillment or series deferral recorded in lifecycle events.,"Review ending state and mark fulfilled, abandoned, superseded, or deferred."
PR-0006,promise continuity,review,possibly-open,B03-C15-S02,B03-C15-S02,PR-B03-0019,Promise lifecycle lacks an explicit full payoff or series deferral.,No explicit full fulfillment or series deferral recorded in lifecycle events.,"Review ending state and mark fulfilled, abandoned, superseded, or deferred."
PR-0007,promise continuity,review,possibly-open,B03-C15-S04,B03-C16-S01; B03-C18-S04,PR-B03-0020,Promise lifecycle lacks an explicit full payoff or series deferral.,No explicit full fulfillment or series deferral recorded in lifecycle events.,"Review ending state and mark fulfilled, abandoned, superseded, or deferred."
PR-0008,promise continuity,review,possibly-open,B03-C17-S03,B03-C17-S03,PR-B03-0021,Promise lifecycle lacks an explicit full payoff or series deferral.,No explicit full fulfillment or series deferral recorded in lifecycle events.,"Review ending state and mark fulfilled, abandoned, superseded, or deferred."
PR-0009,promise continuity,review,possibly-open,B03-C18-S03,B03-C20-S01,PR-B03-0022,Promise lifecycle lacks an explicit full payoff or series deferral.,No explicit full fulfillment or series deferral recorded in lifecycle events.,"Review ending state and mark fulfilled, abandoned, superseded, or deferred."
PR-0010,promise continuity,review,possibly-open,B03-C20-S03,B03-C20-S03,PR-B03-0023,Promise lifecycle lacks an explicit full payoff or series deferral.,No explicit full fulfillment or series deferral recorded in lifecycle events.,"Review ending state and mark fulfilled, abandoned, superseded, or deferred."
PR-0011,promise continuity,review,possibly-open,B03-C21-S04,B03-C21-S04,PR-B03-0024,Promise lifecycle lacks an explicit full payoff or series deferral.,No explicit full fulfillment or series deferral recorded in lifecycle events.,"Review ending state and mark fulfilled, abandoned, superseded, or deferred."
PR-0012,promise continuity,review,possibly-open,B03-C21-S06,B03-C22-S01; B03-C22-S06,PR-B03-0026,Promise lifecycle lacks an explicit full payoff or series deferral.,No explicit full fulfillment or series deferral recorded in lifecycle events.,"Review ending state and mark fulfilled, abandoned, superseded, or deferred."
PR-0013,promise continuity,review,possibly-open,B03-C23-S06,B03-C23-S06,PR-B03-0028,Promise lifecycle lacks an explicit full payoff or series deferral.,No explicit full fulfillment or series deferral recorded in lifecycle events.,"Review ending state and mark fulfilled, abandoned, superseded, or deferred."
